Filename,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60C-9_page_0088.out,-0.000348572,0.000141566,0.000924645,0.000256249,-8.93E-06,0.000100733
BY60C-9_page_0089.out,-0.000452,0.000173798,0.00122369,0.000238327,-1.55E-05,0.000110212
BY60C-9_page_0090.out,-0.000533583,0.000202924,0.00150005,0.000245796,-1.07E-05,0.000116758
BY60C-9_page_0091.out,-0.000633317,0.00017384,0.00177414,0.000220985,-2.00E-05,0.000113131
BY60C-9_page_0092.out,-0.000728649,0.000190339,0.00204645,0.000240233,-1.86E-05,0.000119751
BY60C-9_page_0093.out,-0.000808386,0.000197036,0.00230923,0.00026279,-2.69E-05,0.000120412
BY60C-9_page_0094.out,-0.00087878,0.000191318,0.00259432,0.000277117,-3.88E-05,0.000127453
BY60C-9_page_0095.out,-0.00100621,0.000231432,0.00288064,0.000288607,-4.57E-05,0.000134872
BY60C-9_page_0096.out,-0.00108108,0.000208751,0.00317349,0.000316811,-3.56E-05,0.000139732
BY60C-9_page_0097.out,-0.00118809,0.000211418,0.00351875,0.000297237,-4.47E-05,0.000152444
BY60C-9_page_0098.out,-0.00125183,0.000198056,0.00384956,0.000317899,-6.26E-05,0.000141264
BY60C-9_page_0099.out,-0.00137631,0.000208149,0.00418828,0.000348484,-3.73E-05,0.000138086
BY60C-9_page_0100.out,-0.00146859,0.000235832,0.00445685,0.000346228,-4.61E-05,0.000160738
BY60C-9_page_0101.out,-0.00140054,0.000226681,0.00423644,0.000357167,-5.01E-05,0.000155037
BY60C-9_page_0102.out,-0.00132671,0.000225709,0.00397525,0.000328352,-5.71E-05,0.000154436
BY60C-9_page_0103.out,-0.00123953,0.000219755,0.00370603,0.00035349,-4.97E-05,0.00015294
BY60C-9_page_0104.out,-0.00115938,0.000229348,0.00340912,0.000345579,-4.48E-05,0.000148626
BY60C-9_page_0105.out,-0.00106784,0.000231352,0.00314021,0.000324816,-4.51E-05,0.000137659
BY60C-9_page_0106.out,-0.00096663,0.000247397,0.00288252,0.000305847,-4.71E-05,0.000126652
BY60C-9_page_0107.out,-0.000880612,0.000209072,0.00260343,0.000266849,-3.50E-05,0.000137445
BY60C-9_page_0108.out,-0.000799999,0.000220865,0.00230264,0.000318941,-2.85E-05,0.000123379
