"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-11_page_0055.out",-0.000155519,0.000194298,0.000339697,0.000137943,1.53359e-05,9.63765e-05
"BY60C-11_page_0056.out",-0.000224679,0.000195786,0.000590487,0.000122877,1.47516e-05,0.000102431
"BY60C-11_page_0057.out",-0.00028226,0.000193631,0.000803097,0.000144047,1.93586e-05,0.000105136
"BY60C-11_page_0058.out",-0.000361892,0.000194788,0.00102816,0.000162411,3.56239e-05,0.000146892
"BY60C-11_page_0059.out",-0.000456236,0.00022787,0.00125936,0.000170016,3.66229e-05,0.00013568
"BY60C-11_page_0060.out",-0.00052835,0.000200244,0.00147844,0.000176156,1.94332e-05,0.000114632
"BY60C-11_page_0061.out",-0.000600346,0.000221503,0.00170787,0.000203848,2.53378e-05,0.00012877
"BY60C-11_page_0062.out",-0.000664299,0.000199639,0.00195353,0.00018461,1.88047e-05,0.000128058
"BY60C-11_page_0063.out",-0.000742438,0.000223064,0.00219318,0.000165117,1.54123e-05,0.0001176
"BY60C-11_page_0064.out",-0.000812199,0.000178762,0.00242244,0.00017691,2.39103e-05,0.000108677
"BY60C-11_page_0065.out",-0.000883559,0.000217062,0.00263581,0.000208728,3.22256e-05,0.000142265
"BY60C-11_page_0066.out",-0.000969946,0.000220466,0.00286687,0.000243828,2.30663e-05,0.000128945
"BY60C-11_page_0067.out",-0.00102874,0.000205639,0.0031028,0.00020733,1.52769e-05,0.000141284
"BY60C-11_page_0068.out",-0.0011048,0.000222343,0.00333897,0.000219103,1.68096e-05,0.000154082
"BY60C-11_page_0069.out",-0.00115596,0.000242757,0.00360478,0.000240202,2.00377e-05,0.000145983
"BY60C-11_page_0070.out",-0.00124437,0.000248745,0.003828,0.0002574,2.35772e-05,0.000147273
"BY60C-11_page_0071.out",-0.00134213,0.000232228,0.00403846,0.000245576,2.47262e-05,0.000135503
"BY60C-11_page_0072.out",-0.0013982,0.000223892,0.00428399,0.000276747,1.74966e-05,0.00015372
"BY60C-11_page_0073.out",-0.00138863,0.000280403,0.00418591,0.000259541,2.36112e-05,0.000156639
"BY60C-11_page_0074.out",-0.00129909,0.000256126,0.00395857,0.000243683,2.62402e-05,0.000163484
"BY60C-11_page_0075.out",-0.00121354,0.000248946,0.00372633,0.000242521,1.48007e-05,0.000129646
"BY60C-11_page_0076.out",-0.00112876,0.000228662,0.00348216,0.000253024,1.68913e-05,0.000156902
"BY60C-11_page_0077.out",-0.00107442,0.00024413,0.00324902,0.000234096,1.84208e-05,0.000146508
"BY60C-11_page_0078.out",-0.00100079,0.00025657,0.00298112,0.000236592,1.46501e-05,0.000146157
"BY60C-11_page_0079.out",-0.00090972,0.000236731,0.00274401,0.000220104,1.09822e-05,0.000130775
"BY60C-11_page_0080.out",-0.000841063,0.000257342,0.00248642,0.000225742,2.8056e-05,0.000143478
"BY60C-11_page_0081.out",-0.00074031,0.00022302,0.0022413,0.000196341,2.71627e-05,0.000151145
"BY60C-11_page_0082.out",-0.000685776,0.000265003,0.00200811,0.000212137,3.01481e-05,0.000131664
"BY60C-11_page_0083.out",-0.000609123,0.000249378,0.00177231,0.000210166,2.68594e-05,0.000123151
"BY60C-11_page_0084.out",-0.000541389,0.000246167,0.00150096,0.00022387,2.7237e-05,0.000140301
"BY60C-11_page_0085.out",-0.00043374,0.000198665,0.00125978,0.000199389,2.05697e-05,0.000129895
"BY60C-11_page_0086.out",-0.000383865,0.00024638,0.00102382,0.000199029,1.59736e-05,0.000140701
"BY60C-11_page_0087.out",-0.00030003,0.000233224,0.0007882,0.000180618,2.62759e-05,0.000142502
"BY60C-11_page_0088.out",-0.000231613,0.000240273,0.0006223,0.000233589,3.62843e-05,0.000155936
"BY60C-11_page_0089.out",-0.000307963,0.000247465,0.000807653,0.000200347,2.75128e-05,0.000133507
"BY60C-11_page_0090.out",-0.000382461,0.000246141,0.00103348,0.000202672,2.87657e-05,0.000139048
"BY60C-11_page_0091.out",-0.000462584,0.000249171,0.00127362,0.000216948,1.1873e-05,0.000124507
"BY60C-11_page_0092.out",-0.000511134,0.000270263,0.00150666,0.000206979,1.72999e-05,0.000134697
"BY60C-11_page_0093.out",-0.000598229,0.000265352,0.00175578,0.00021575,2.22423e-05,0.000141444
"BY60C-11_page_0094.out",-0.000688522,0.000290638,0.00198638,0.00022863,1.80952e-05,0.000151941
"BY60C-11_page_0095.out",-0.000750349,0.000245462,0.00220638,0.00023906,2.59554e-05,0.000151871
"BY60C-11_page_0096.out",-0.000841136,0.000284368,0.00247231,0.00022691,2.31586e-05,0.00015948
"BY60C-11_page_0097.out",-0.000915998,0.000260938,0.00270555,0.000267133,2.71907e-05,0.000147298
"BY60C-11_page_0098.out",-0.000992678,0.0002734,0.00295614,0.000257238,1.53153e-05,0.000143792
"BY60C-11_page_0099.out",-0.00107696,0.000304916,0.00320694,0.000257012,2.6825e-05,0.000152214
"BY60C-11_page_0100.out",-0.00112926,0.000276064,0.00345326,0.000261586,3.0488e-05,0.000166589
"BY60C-11_page_0101.out",-0.00122172,0.000301538,0.003699,0.000271231,2.6369e-05,0.000165988
"BY60C-11_page_0102.out",-0.00129283,0.000268881,0.00393921,0.000272687,2.24799e-05,0.000167911
"BY60C-11_page_0103.out",-0.00137325,0.000269827,0.00417815,0.000313013,3.4484e-05,0.000179906
"BY60C-11_page_0104.out",-0.00144789,0.000278231,0.00443171,0.000331794,2.99804e-05,0.000189962
"BY60C-11_page_0105.out",-0.00153645,0.000318813,0.00468298,0.000284115,1.80364e-05,0.000183608
"BY60C-11_page_0106.out",-0.00158354,0.000277943,0.0049228,0.00031551,3.03545e-05,0.000188791
"BY60C-11_page_0107.out",-0.00169111,0.000313426,0.00516243,0.000333508,3.55782e-05,0.000208204
"BY60C-11_page_0108.out",-0.00176236,0.000307091,0.00541882,0.00034777,2.25423e-05,0.000199733
"BY60C-11_page_0109.out",-0.00184724,0.000312981,0.00567201,0.000340344,2.48728e-05,0.000200377
"BY60C-11_page_0110.out",-0.00191502,0.000324126,0.00595943,0.000377747,1.96894e-05,0.000212925
"BY60C-11_page_0111.out",-0.00185703,0.000332599,0.00581211,0.000350379,2.78008e-05,0.000194141
"BY60C-11_page_0112.out",-0.00179399,0.000303966,0.00556341,0.000346377,2.59704e-05,0.000203854
"BY60C-11_page_0113.out",-0.00173444,0.000303069,0.00532589,0.000360513,2.26164e-05,0.000209734
"BY60C-11_page_0114.out",-0.00167105,0.000323871,0.0050691,0.000346995,2.55505e-05,0.000195423
"BY60C-11_page_0115.out",-0.00158593,0.000330668,0.00482594,0.000328555,4.47798e-05,0.000181542
"BY60C-11_page_0116.out",-0.00149311,0.000322841,0.00458371,0.000300941,3.165e-05,0.000183484
"BY60C-11_page_0117.out",-0.00141309,0.000308833,0.00433593,0.000326962,3.32782e-05,0.00017989
"BY60C-11_page_0118.out",-0.00135251,0.000298127,0.00408498,0.000319199,3.46306e-05,0.000181367
"BY60C-11_page_0119.out",-0.00127748,0.00034586,0.00384249,0.000299128,2.1067e-05,0.000166479
"BY60C-11_page_0120.out",-0.00119092,0.00032831,0.00357072,0.000297031,2.96049e-05,0.000167647
"BY60C-11_page_0121.out",-0.00110348,0.000310479,0.00329792,0.000297146,4.23726e-05,0.000151754
"BY60C-11_page_0122.out",-0.0010181,0.000308681,0.00306279,0.000273929,2.14408e-05,0.00016151
"BY60C-11_page_0123.out",-0.00095811,0.000322505,0.00280489,0.000292537,2.41639e-05,0.000155141
"BY60C-11_page_0124.out",-0.000878157,0.00030473,0.00253852,0.000277872,1.92515e-05,0.000143604
"BY60C-11_page_0125.out",-0.000784535,0.000293151,0.00226846,0.000310298,3.06319e-05,0.000162651
"BY60C-11_page_0126.out",-0.000690967,0.000300575,0.00200045,0.000294037,2.06896e-05,0.000151696
"BY60C-11_page_0127.out",-0.000637753,0.000340925,0.00174335,0.000281902,1.95504e-05,0.000152554
"BY60C-11_page_0128.out",-0.000545267,0.000340529,0.00150691,0.000273751,4.11483e-05,0.000168317
"BY60C-11_page_0129.out",-0.000476763,0.000344709,0.00124251,0.000279299,3.27153e-05,0.00016797
"BY60C-11_page_0130.out",-0.000402071,0.000323487,0.00105103,0.000289849,2.63998e-05,0.000153013
"BY60C-11_page_0131.out",-0.000465948,0.000340284,0.00128285,0.000261696,1.81302e-05,0.000163904
"BY60C-11_page_0132.out",-0.000551483,0.00035672,0.0014447,0.000286843,4.00353e-05,0.000161365
"BY60C-11_page_0133.out",-0.000611081,0.000319107,0.00170782,0.00028027,2.43335e-05,0.000174416
"BY60C-11_page_0134.out",-0.000680224,0.000332297,0.00194808,0.000268871,2.02415e-05,0.000162957
"BY60C-11_page_0135.out",-0.000759456,0.000347943,0.00220722,0.000279834,2.28211e-05,0.000181155
"BY60C-11_page_0136.out",-0.000856143,0.000335061,0.00246828,0.000305654,2.49524e-05,0.000168582
"BY60C-11_page_0137.out",-0.000945226,0.000361217,0.002719,0.000303336,1.38898e-05,0.000174792
"BY60C-11_page_0138.out",-0.0010048,0.000321411,0.00297534,0.000304991,2.57952e-05,0.000173778
"BY60C-11_page_0139.out",-0.00108548,0.000364791,0.00324039,0.000310655,3.62498e-05,0.000187283
"BY60C-11_page_0140.out",-0.00117283,0.000377972,0.0034994,0.000331744,3.00826e-05,0.000186315
