Filename,No,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60M-4_page_0001.out,1,-5.40E-17,2.73E-17,-4.83E-17,3.09E-17,2.02E-20,2.85E-17
BY60M-4_page_0002.out,2,1.72E-06,9.76E-05,-8.68E-07,9.85E-05,7.47E-06,6.45E-05
BY60M-4_page_0003.out,,5.84E-07,0.000103999,3.85E-06,8.67E-05,1.00E-05,6.22E-05
BY60M-4_page_0004.out,,1.83E-06,0.000105139,-5.82E-06,7.57E-05,8.42E-06,6.72E-05
BY60M-4_page_0005.out,,-6.37E-06,0.000118675,4.45E-06,7.47E-05,8.42E-06,6.63E-05
BY60M-4_page_0006.out,,-8.43E-07,0.000103857,-6.06E-06,9.16E-05,7.20E-06,6.25E-05
BY60M-4_page_0007.out,,-3.02E-06,9.85E-05,4.44E-06,8.37E-05,8.90E-06,6.18E-05
BY60M-4_page_0008.out,,-7.29E-05,0.000132543,0.000243213,0.000107369,4.57E-06,7.81E-05
BY60M-4_page_0009.out,,-0.000162824,0.000149077,0.000503132,0.00013208,2.91E-06,8.43E-05
BY60M-4_page_0010.out,,-0.000258831,0.000132701,0.000761709,0.000142017,7.54E-06,8.56E-05
BY60M-4_page_0011.out,,-0.000327572,0.000146999,0.00103762,0.000141399,-8.51E-07,9.33E-05
BY60M-4_page_0012.out,,-0.000418389,0.000178347,0.00131443,0.000159994,3.59E-06,0.000106002
BY60M-4_page_0013.out,,-0.000530863,0.000188259,0.00159231,0.000180661,-9.47E-06,0.000117126
BY60M-4_page_0014.out,,-0.000621119,0.000196822,0.00187903,0.000216748,-9.34E-06,0.000123206
BY60M-4_page_0015.out,,-0.000730445,0.000190298,0.0021589,0.000217872,2.26E-07,0.000117171
BY60M-4_page_0016.out,,-0.000822428,0.000179638,0.00243805,0.000249102,-1.29E-05,0.000127781
BY60M-4_page_0017.out,,-0.00092735,0.000173829,0.00273227,0.000271905,-1.86E-05,0.000135457
BY60M-4_page_0018.out,,-0.00102317,0.00020285,0.00301225,0.000260027,-1.39E-05,0.000119819
BY60M-4_page_0019.out,,-0.00113077,0.000196649,0.00331516,0.000304197,-1.81E-05,0.000127434
BY60M-4_page_0020.out,,-0.0012236,0.000213038,0.00361442,0.00030582,-2.07E-05,0.000136244
BY60M-4_page_0021.out,,-0.00131872,0.00020748,0.00391729,0.000337659,-2.15E-05,0.000139161
BY60M-4_page_0022.out,,-0.00142914,0.000216862,0.00423392,0.00034452,-1.98E-05,0.000149791
BY60M-4_page_0023.out,,-0.00152772,0.000236899,0.00455713,0.000375501,-1.97E-05,0.000167265
BY60M-4_page_0024.out,,-0.00163198,0.000251292,0.00490366,0.000402819,-2.18E-05,0.000177895
