Filename,No,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60M-4_page_0025.out,,-0.00175251,0.000272098,0.00524776,0.000426252,-2.28E-05,0.000186259
BY60M-4_page_0026.out,,-0.0018646,0.000269882,0.00560887,0.000457167,-2.38E-05,0.00018393
BY60M-4_page_0027.out,,-0.00198005,0.000293449,0.00596582,0.000478688,-3.17E-05,0.000190521
BY60M-4_page_0028.out,,-0.00209498,0.000304174,0.00632698,0.0005195,-3.67E-05,0.000213848
BY60M-4_page_0029.out,,-0.0022175,0.000307271,0.00669757,0.00055736,-3.09E-05,0.000217379
BY60M-4_page_0030.out,,-0.00233917,0.000338037,0.00706036,0.000582207,-4.10E-05,0.000225644
BY60M-4_page_0031.out,,-0.00246469,0.000347585,0.00742934,0.000623488,-3.98E-05,0.000234019
BY60M-4_page_0032.out,,-0.00259206,0.000341851,0.00780621,0.000667144,-3.79E-05,0.000250495
BY60M-4_page_0033.out,,-0.00269916,0.000354019,0.0081811,0.000707391,-4.46E-05,0.00025655
BY60M-4_page_0034.out,,-0.00282819,0.000357249,0.00856112,0.000744952,-4.67E-05,0.000251458
BY60M-4_page_0035.out,,-0.00294456,0.000381597,0.00894811,0.000790421,-4.89E-05,0.000268657
BY60M-4_page_0036.out,,-0.00307547,0.000395944,0.0093361,0.000850226,-5.70E-05,0.000269249
BY60M-4_page_0037.out,,-0.00319119,0.000407651,0.00971957,0.000886314,-6.15E-05,0.000276152
BY60M-4_page_0038.out,,-0.00331539,0.000427827,0.0101244,0.000951566,-6.54E-05,0.000287817
BY60M-4_page_0039.out,,-0.00343852,0.000435489,0.0105221,0.00101302,-6.56E-05,0.000292908
BY60M-4_page_0040.out,,-0.00356795,0.000459221,0.0109206,0.00107544,-6.98E-05,0.000321521
BY60M-4_page_0041.out,,-0.00369579,0.000468648,0.0113207,0.00113615,-7.64E-05,0.000314285
BY60M-4_page_0042.out,,-0.00384513,0.00050178,0.0117249,0.00120691,-7.95E-05,0.000329741
BY60M-4_page_0043.out,,-0.00396397,0.000508205,0.0121287,0.001279,-8.73E-05,0.000336865
BY60M-4_page_0044.out,,-0.0041016,0.000528749,0.0125359,0.00134504,-8.13E-05,0.000346743
BY60M-4_page_0045.out,,-0.0042257,0.000534842,0.0129425,0.00142869,-7.20E-05,0.000359525
BY60M-4_page_0046.out,,-0.0043676,0.000550481,0.0133539,0.00150738,-8.73E-05,0.000374795
BY60M-4_page_0047.out,,-0.00449223,0.000584918,0.0137559,0.00157869,-8.56E-05,0.000373952
BY60M-4_page_0048.out,,-0.00462738,0.00060154,0.0141687,0.00165838,-9.22E-05,0.0003808
BY60M-4_page_0049.out,,-0.00476503,0.000642011,0.0145754,0.00175035,-9.18E-05,0.000397973
BY60M-4_page_0050.out,,-0.00489273,0.000653286,0.0149904,0.00183356,-9.35E-05,0.000413892
BY60M-4_page_0051.out,,-0.00503479,0.000694161,0.0153987,0.00193028,-0.000102229,0.00042614
BY60M-4_page_0052.out,,-0.00515605,0.000717674,0.0157953,0.00201723,-0.000104827,0.000445837
BY60M-4_page_0053.out,,-0.00527373,0.000747247,0.0162245,0.00210299,-0.000100744,0.000433843
BY60M-4_page_0054.out,,-0.00542775,0.000776229,0.0166256,0.00219852,-0.000106483,0.000437656
BY60M-4_page_0055.out,,-0.00556599,0.00082289,0.0170361,0.00229751,-0.000109188,0.000443266
BY60M-4_page_0056.out,,-0.00571025,0.00084541,0.0174452,0.0023972,-0.00011595,0.000473936
BY60M-4_page_0057.out,,-0.00583191,0.000853534,0.0178513,0.00249415,-0.000119668,0.000487225
BY60M-4_page_0058.out,,-0.00598361,0.000910895,0.0182675,0.00259495,-0.000122124,0.000488898
BY60M-4_page_0059.out,,-0.00610489,0.000912787,0.0186716,0.00268969,-0.000129133,0.000493492
BY60M-4_page_0060.out,,-0.00624426,0.000942602,0.0190942,0.00279154,-0.00012661,0.000497341
BY60M-4_page_0061.out,,-0.0063698,0.000965677,0.0195075,0.00289983,-0.000139099,0.000510828
BY60M-4_page_0062.out,,-0.00649123,0.00101513,0.0199244,0.00301616,-0.000137989,0.000527465
BY60M-4_page_0063.out,,-0.00662539,0.00103711,0.0203253,0.00312966,-0.000139534,0.000535969
BY60M-4_page_0064.out,,-0.00676286,0.00105537,0.0207341,0.00322971,-0.000146432,0.000554336
BY60M-4_page_0065.out,,-0.00691254,0.00111324,0.0211453,0.00335137,-0.000152809,0.000555243
BY60M-4_page_0066.out,,-0.00702926,0.00112918,0.0215568,0.00346032,-0.000152647,0.000555641
BY60M-4_page_0067.out,,-0.0071671,0.00115297,0.0219652,0.00358029,-0.00015268,0.000574717
BY60M-4_page_0068.out,,-0.00731371,0.00117741,0.0223761,0.00369389,-0.000143115,0.000587011
BY60M-4_page_0069.out,,-0.00744906,0.00121588,0.0227883,0.00381778,-0.000161585,0.000591239
BY60M-4_page_0070.out,,-0.00758921,0.00126731,0.0231929,0.00393885,-0.000153943,0.000608794
BY60M-4_page_0071.out,,-0.00771993,0.00128038,0.0236077,0.00407404,-0.00015766,0.000621514
BY60M-4_page_0072.out,,-0.00784931,0.00130256,0.0240192,0.00419696,-0.000171837,0.000626978
BY60M-4_page_0073.out,,-0.00799639,0.00134724,0.0244407,0.00433385,-0.000164926,0.000636421
BY60M-4_page_0074.out,,-0.00813662,0.00138744,0.0248827,0.00447928,-0.000168953,0.000664691
BY60M-4_page_0075.out,,-0.00828121,0.00144006,0.025317,0.00460524,-0.000175258,0.000666397
BY60M-4_page_0076.out,,-0.00843127,0.00148014,0.0257755,0.00476532,-0.000172444,0.000659872
BY60M-4_page_0077.out,,-0.00857425,0.00151607,0.0262177,0.00490585,-0.000175467,0.000685497
BY60M-4_page_0078.out,,-0.00872847,0.0015589,0.0266669,0.00507117,-0.000178496,0.000690698
BY60M-4_page_0079.out,,-0.00886948,0.00160638,0.027119,0.00523307,-0.000173847,0.000707636
BY60M-4_page_0080.out,,-0.00901009,0.00164949,0.027572,0.0054065,-0.000173124,0.000715652
BY60M-4_page_0081.out,,-0.00916561,0.00170859,0.0280216,0.00557814,-0.000182114,0.000722006
BY60M-4_page_0082.out,,-0.00931742,0.00174881,0.0284723,0.00575776,-0.000186728,0.000740158
BY60M-4_page_0083.out,,-0.00947594,0.00181848,0.0289171,0.00593783,-0.000182388,0.000743949
BY60M-4_page_0084.out,,-0.00962763,0.00186757,0.029376,0.00612719,-0.000193829,0.000763857
BY60M-4_page_0085.out,,-0.0097715,0.00192436,0.029834,0.00634701,-0.000183837,0.000780159
BY60M-4_page_0086.out,,-0.009911,0.00198864,0.030289,0.00653871,-0.00019916,0.000782253
BY60M-4_page_0087.out,,-0.0100795,0.00204945,0.0307269,0.0067455,-0.0002035,0.000786061
BY60M-4_page_0088.out,,-0.0102292,0.0021074,0.0311966,0.00696292,-0.000213522,0.000798277
BY60M-4_page_0089.out,,-0.010386,0.00218244,0.0316593,0.00719103,-0.000212013,0.000797596
BY60M-4_page_0090.out,,-0.0105451,0.00224217,0.0321083,0.00742588,-0.000219305,0.000818982
BY60M-4_page_0091.out,,-0.0106906,0.00231941,0.0325663,0.00765053,-0.000216784,0.000836022
BY60M-4_page_0092.out,,-0.0108372,0.00241023,0.0330326,0.00793588,-0.000219185,0.000843672
BY60M-4_page_0093.out,,-0.0109969,0.00248483,0.0334947,0.00818436,-0.000214368,0.000846386
BY60M-4_page_0094.out,,-0.0111398,0.00255915,0.0339507,0.00844796,-0.00022179,0.00085297
BY60M-4_page_0095.out,,-0.0113018,0.0026458,0.0344116,0.00873941,-0.000226995,0.000870089
BY60M-4_page_0096.out,,-0.0114484,0.00274004,0.0348766,0.00905374,-0.000228714,0.000877414
BY60M-4_page_0097.out,,-0.0116018,0.00283395,0.0353457,0.00937014,-0.000225968,0.000875061
BY60M-4_page_0098.out,,-0.0117518,0.00293542,0.0358036,0.00968767,-0.000229913,0.000893687
BY60M-4_page_0099.out,,-0.0119275,0.00305803,0.0362725,0.010026,-0.00023406,0.000908585
BY60M-4_page_0100.out,,-0.0120773,0.00317019,0.0367466,0.010389,-0.000240446,0.000920521
BY60M-4_page_0101.out,,-0.0122384,0.00328041,0.0372255,0.0107793,-0.000239591,0.000939636
BY60M-4_page_0102.out,,-0.0124039,0.00341209,0.0377039,0.0111835,-0.000242155,0.000943898
BY60M-4_page_0103.out,,-0.0125596,0.00353427,0.0381682,0.0115934,-0.000244391,0.000953177
BY60M-4_page_0104.out,,-0.0127156,0.00367906,0.038649,0.0119983,-0.000247544,0.000956243
BY60M-4_page_0105.out,,-0.0128794,0.00381738,0.0391311,0.0124554,-0.000242493,0.000969551
BY60M-4_page_0106.out,,-0.0130423,0.00395145,0.0396197,0.0129358,-0.000255139,0.000977927
BY60M-4_page_0107.out,,-0.0132115,0.00410018,0.0400965,0.0134014,-0.000245463,0.00100092
BY60M-4_page_0108.out,,-0.0133648,0.0042748,0.0405887,0.0139197,-0.000257734,0.00101088
BY60M-4_page_0109.out,,-0.013537,0.00442852,0.0410875,0.0144405,-0.00025988,0.00101337
BY60M-4_page_0110.out,,-0.0137,0.00461716,0.0415762,0.0149859,-0.000260241,0.00101173
BY60M-4_page_0111.out,,-0.0138651,0.00480143,0.0420709,0.015552,-0.000268188,0.00101615
BY60M-4_page_0112.out,,-0.0140442,0.00499836,0.0425738,0.0161563,-0.000270521,0.00102099
BY60M-4_page_0113.out,,-0.014227,0.00519631,0.0430774,0.0167905,-0.000267955,0.00103881
BY60M-4_page_0114.out,,-0.0143849,0.00541124,0.0435797,0.0174401,-0.000263681,0.00105125
BY60M-4_page_0115.out,,-0.0145761,0.00565473,0.0440735,0.0181035,-0.000269766,0.00107436
BY60M-4_page_0116.out,,-0.0147483,0.00589496,0.0445832,0.0188367,-0.000272831,0.00108181
BY60M-4_page_0117.out,,-0.0149253,0.00615181,0.0451018,0.0195872,-0.000280812,0.0010902
BY60M-4_page_0118.out,,-0.0151117,0.00641965,0.0456274,0.0204189,-0.000275196,0.00110348
BY60M-4_page_0119.out,,-0.0152952,0.00671006,0.0461637,0.0212759,-0.0002794,0.00111847
BY60M-4_page_0120.out,,-0.0154999,0.00701711,0.0467027,0.0222044,-0.000277209,0.00112683
BY60M-4_page_0121.out,,-0.0157054,0.00736097,0.0472677,0.0232013,-0.000280292,0.00113364
BY60M-4_page_0122.out,,-0.0159266,0.0077584,0.047868,0.0243223,-0.000288042,0.00113981
BY60M-4_page_0123.out,,-0.0161494,0.00820094,0.0484762,0.0255748,-0.000296495,0.00114575
BY60M-4_page_0124.out,,-0.0163782,0.00865913,0.0491262,0.0269399,-0.000297327,0.00114564
BY60M-4_page_0125.out,,-0.0165966,0.00915343,0.0497864,0.0283534,-0.000301063,0.00117311
BY60M-4_page_0126.out,,-0.0168436,0.00969008,0.0504582,0.0298892,-0.000303628,0.00119105
BY60M-4_page_0127.out,,-0.0171151,0.0103437,0.0511965,0.0317014,-0.000307258,0.00121024
BY60M-4_page_0128.out,,-0.0174005,0.0110241,0.0519411,0.0335403,-0.000318836,0.00120131
BY60M-4_page_0129.out,,-0.0176837,0.0117451,0.052704,0.0355344,-0.000319281,0.00123182
BY60M-4_page_0130.out,,-0.0179657,0.0124574,0.0534523,0.0375289,-0.000330873,0.00124475
BY60M-4_page_0131.out,,-0.018246,0.0131312,0.0541816,0.0394155,-0.000331931,0.00126807
BY60M-4_page_0132.out,,-0.0185058,0.0137908,0.0549152,0.0412907,-0.00033663,0.00130356
BY60M-4_page_0133.out,,-0.0187909,0.0144876,0.0556432,0.0431954,-0.000337784,0.00131875
BY60M-4_page_0134.out,,-0.0190438,0.0151411,0.0563764,0.0451158,-0.000350068,0.00133507
BY60M-4_page_0135.out,,-0.0193048,0.0158261,0.0571228,0.0470595,-0.000349271,0.00137262
BY60M-4_page_0136.out,,-0.0195872,0.0165028,0.0578559,0.0490015,-0.000347504,0.00139497
BY60M-4_page_0137.out,,-0.0198455,0.0171927,0.0585925,0.0509756,-0.00035076,0.00143259
BY60M-4_page_0138.out,,-0.0201104,0.0178835,0.0593434,0.0529572,-0.000350922,0.00145458
BY60M-4_page_0139.out,,-0.0203821,0.018584,0.0601021,0.0550081,-0.000349029,0.00149294
BY60M-4_page_0140.out,,-0.0206668,0.0192779,0.0608678,0.057099,-0.000346164,0.00152798
BY60M-4_page_0141.out,,-0.0209319,0.02001,0.0616647,0.0592401,-0.000340401,0.00155401
BY60M-4_page_0142.out,,-0.0212019,0.020763,0.0624759,0.0615065,-0.000334275,0.00158805
BY60M-4_page_0143.out,,-0.0214937,0.0215177,0.0632892,0.0637567,-0.000319664,0.00163138
BY60M-4_page_0144.out,,-0.021783,0.0222523,0.0641109,0.0660175,-0.000311261,0.00167202
BY60M-4_page_0145.out,,-0.0220592,0.0229737,0.0649514,0.0682863,-0.000296276,0.0017123
BY60M-4_page_0146.out,,-0.0223474,0.0236945,0.0657653,0.0704822,-0.000287325,0.00176793
BY60M-4_page_0147.out,,-0.022605,0.0244165,0.0666107,0.0727593,-0.000275281,0.00181017
BY60M-4_page_0148.out,,-0.022898,0.0251386,0.0674396,0.0750118,-0.000250357,0.00187156
BY60M-4_page_0149.out,,-0.0231898,0.0258799,0.0683082,0.0773777,-0.000236289,0.00192568
BY60M-4_page_0150.out,,-0.0234877,0.0266066,0.0691912,0.0797671,-0.000207656,0.0019957
BY60M-4_page_0151.out,,-0.0237438,0.0273455,0.0700583,0.0821858,-0.000190937,0.00206737
BY60M-4_page_0152.out,,-0.0240474,0.0280797,0.0709443,0.084577,-0.000163998,0.002151
BY60M-4_page_0153.out,,-0.024329,0.0287978,0.0718512,0.0869976,-0.000129213,0.00223485
BY60M-4_page_0154.out,,-0.0246027,0.0295255,0.0727339,0.0893878,-0.000109236,0.00232193
BY60M-4_page_0155.out,,-0.0248917,0.0302182,0.0736338,0.0917324,-8.48E-05,0.00242218
BY60M-4_page_0156.out,,-0.0251883,0.030935,0.0745323,0.0941449,-5.46E-05,0.00251262
BY60M-4_page_0157.out,,-0.0254885,0.0316419,0.0754458,0.0965782,-2.19E-05,0.00262266
BY60M-4_page_0158.out,,-0.0257675,0.0323749,0.0763933,0.099162,2.50E-05,0.00275404
BY60M-4_page_0159.out,,-0.0260692,0.0331045,0.0773549,0.101767,6.29E-05,0.0028934
BY60M-4_page_0160.out,,-0.0263772,0.0338351,0.0783254,0.104366,0.000104556,0.00301268
BY60M-4_page_0161.out,,-0.0266351,0.034525,0.079271,0.106868,0.000158153,0.00317028
BY60M-4_page_0162.out,,-0.0269248,0.0352052,0.0802178,0.109397,0.000205345,0.00332166
BY60M-4_page_0163.out,,-0.0272022,0.0358662,0.0811752,0.11189,0.00025478,0.00346679
BY60M-4_page_0164.out,,-0.0274906,0.036543,0.0821407,0.114411,0.000285824,0.00362811
BY60M-4_page_0165.out,,-0.0277691,0.0372044,0.0831027,0.116927,0.000342483,0.00379268
BY60M-4_page_0166.out,,-0.0280568,0.0378593,0.0840594,0.119461,0.000394056,0.00396921
BY60M-4_page_0167.out,,-0.028315,0.0385204,0.0850429,0.122041,0.000458469,0.00417119
BY60M-4_page_0168.out,,-0.0285809,0.0391869,0.0860264,0.124625,0.000512454,0.00437202
BY60M-4_page_0169.out,,-0.0288837,0.0398725,0.0870569,0.127408,0.000579216,0.00460308
BY60M-4_page_0170.out,,-0.0291687,0.0405278,0.0880689,0.130175,0.00064874,0.00482969
BY60M-4_page_0171.out,,-0.0294034,0.0411615,0.0890797,0.132894,0.000713647,0.00509751
BY60M-4_page_0172.out,,-0.029691,0.0418375,0.0901121,0.135697,0.000797704,0.00533467
BY60M-4_page_0173.out,,-0.0299651,0.0425155,0.0912009,0.138676,0.000884293,0.00562627
BY60M-4_page_0174.out,,-0.0302548,0.0431926,0.0923034,0.141712,0.000979875,0.00592291
BY60M-4_page_0175.out,,-0.0305006,0.0438449,0.0934064,0.144711,0.00107612,0.00623293
BY60M-4_page_0176.out,,-0.0307808,0.0447016,0.0946334,0.148858,0.00120381,0.00667666
BY60M-4_page_0177.out,,-0.0310882,0.0455568,0.0960167,0.153312,0.00132386,0.00709429
BY60M-4_page_0178.out,,-0.0313178,0.0461271,0.0969431,0.155938,0.0014135,0.00744966
BY60M-4_page_0179.out,,-0.0315811,0.0467536,0.0980261,0.158989,0.00150657,0.00779717
BY60M-4_page_0180.out,,-0.0318281,0.0473617,0.0991314,0.162057,0.00161239,0.00817847
BY60M-4_page_0181.out,,-0.0320919,0.0479803,0.100257,0.165137,0.00172743,0.00854162
BY60M-4_page_0182.out,,-0.0323087,0.0484584,0.101083,0.167296,0.00180651,0.00882278
BY60M-4_page_0183.out,,-0.0325737,0.0490325,0.102187,0.170293,0.00192007,0.00919945
BY60M-4_page_0184.out,,-0.0328106,0.0495851,0.103288,0.173239,0.00203353,0.00961104
BY60M-4_page_0185.out,,-0.0330608,0.0501277,0.104405,0.176212,0.0021431,0.0100118
BY60M-4_page_0186.out,,-0.0332905,0.0506639,0.105512,0.179153,0.00225501,0.0104302
BY60M-4_page_0187.out,,-0.0334926,0.0510672,0.106262,0.181002,0.00231868,0.0105752
BY60M-4_page_0188.out,,-0.0337392,0.0515797,0.10736,0.183936,0.00244505,0.0110102
BY60M-4_page_0189.out,,-0.0339676,0.0520601,0.108469,0.186897,0.00256559,0.0114482
BY60M-4_page_0190.out,,-0.0341554,0.0527844,0.109838,0.191826,0.00278693,0.0122077
BY60M-4_page_0191.out,,-0.034388,0.0534549,0.111205,0.196706,0.00298665,0.0129833
BY60M-4_page_0192.out,,-0.0346047,0.0539018,0.112278,0.199736,0.00313214,0.0134946
BY60M-4_page_0193.out,,-0.0348087,0.0543423,0.113352,0.202707,0.00327993,0.0139995
BY60M-4_page_0194.out,,-0.0349624,0.0546712,0.114124,0.204811,0.00333327,0.0141607
BY60M-4_page_0195.out,,-0.0351166,0.0549989,0.114886,0.206819,0.00341131,0.0143974
BY60M-4_page_0196.out,,-0.0353081,0.0554102,0.115974,0.209962,0.00356216,0.0149527
BY60M-4_page_0197.out,,-0.0354884,0.0558232,0.117072,0.213146,0.00372292,0.0155113
BY60M-4_page_0198.out,,-0.0356572,0.0562095,0.118224,0.216369,0.00389644,0.0161263
BY60M-4_page_0199.out,,-0.0358494,0.0566066,0.119413,0.219705,0.00407603,0.0167293
BY60M-4_page_0200.out,,-0.0360507,0.056983,0.120635,0.223184,0.00426514,0.0173974
BY60M-4_page_0201.out,,-0.036232,0.0573623,0.121903,0.226854,0.00447675,0.0181091
BY60M-4_page_0202.out,,-0.0363995,0.0577496,0.123243,0.230817,0.00472551,0.0189002
BY60M-4_page_0203.out,,-0.0364559,0.0579316,0.123956,0.232926,0.00482839,0.0191189
BY60M-4_page_0204.out,,-0.0365826,0.0582415,0.125255,0.237203,0.00519355,0.0204561
BY60M-4_page_0205.out,,-0.0367315,0.0588044,0.127066,0.244298,0.00559986,0.022059
BY60M-4_page_0206.out,,-0.0368129,0.0592746,0.128911,0.251444,0.00603386,0.0236287
BY60M-4_page_0207.out,,-0.0369041,0.0594609,0.129868,0.254261,0.00629447,0.0245411
BY60M-4_page_0208.out,,-0.0370174,0.059706,0.131327,0.258927,0.00660138,0.0256678
BY60M-4_page_0209.out,,-0.0371045,0.0599331,0.132798,0.263748,0.00692961,0.0268772
BY60M-4_page_0210.out,,-0.0371901,0.0601136,0.134272,0.268605,0.00726514,0.0281383
BY60M-4_page_0211.out,,-0.0372124,0.0601505,0.135169,0.271525,0.00749667,0.0290172
BY60M-4_page_0212.out,,-0.0372428,0.0601242,0.13667,0.277018,0.00788429,0.0305258
BY60M-4_page_0213.out,,-0.0372438,0.0601205,0.137367,0.279248,0.00809379,0.0312872
BY60M-4_page_0214.out,,-0.0372338,0.0600295,0.139206,0.28565,0.00860557,0.0332866
BY60M-4_page_0215.out,,-0.0372199,0.0598909,0.141434,0.29431,0.00925479,0.0360557
BY60M-4_page_0216.out,,-0.0370586,0.059486,0.143711,0.304554,0.0101052,0.0400582
BY60M-4_page_0217.out,,-0.0369086,0.0591069,0.146389,0.31524,0.0109485,0.0436492
BY60M-4_page_0218.out,,-0.0366956,0.0585893,0.14833,0.322828,0.0118116,0.047208
BY60M-4_page_0219.out,,-0.036433,0.0580842,0.150775,0.332803,0.012701,0.0507498
BY60M-4_page_0220.out,,-0.0363091,0.0579711,0.151894,0.336539,0.0130994,0.0520107
BY60M-4_page_0221.out,,-0.0361937,0.0577026,0.154034,0.344501,0.0137939,0.0547062
BY60M-4_page_0222.out,,-0.0361033,0.0575383,0.156086,0.352056,0.014427,0.0571704
BY60M-4_page_0223.out,,-0.0359824,0.0572304,0.158131,0.359977,0.0150627,0.0597424
BY60M-4_page_0224.out,,-0.0358493,0.0569601,0.160203,0.36793,0.0157614,0.062435
BY60M-4_page_0225.out,,-0.0356475,0.0565568,0.16291,0.38079,0.0167584,0.0673682
BY60M-4_page_0226.out,,-0.0354077,0.056105,0.162692,0.38035,0.0170508,0.0684795
BY60M-4_page_0227.out,,-0.0351385,0.055566,0.165103,0.391317,0.0179752,0.0728013
BY60M-4_page_0228.out,,-0.034951,0.0551846,0.167575,0.401498,0.0188155,0.0764569
BY60M-4_page_0229.out,,-0.0347544,0.0548039,0.170069,0.411621,0.0196652,0.0800881
BY60M-4_page_0230.out,,-0.0345452,0.0544112,0.172802,0.422319,0.0206007,0.0840087
BY60M-4_page_0231.out,,-0.0343032,0.0539721,0.175398,0.431939,0.0215367,0.087577
BY60M-4_page_0232.out,,-0.0341014,0.0534775,0.177826,0.441049,0.0224136,0.0910348
BY60M-4_page_0233.out,,-0.0337599,0.0528538,0.179417,0.447118,0.023137,0.093975
BY60M-4_page_0234.out,,-0.0335391,0.0523697,0.181711,0.455711,0.0239732,0.0973013
BY60M-4_page_0235.out,,-0.033289,0.0518876,0.184036,0.464396,0.0248209,0.100686
BY60M-4_page_0236.out,,-0.0329934,0.0513536,0.186829,0.476734,0.0259168,0.105864
BY60M-4_page_0237.out,,-0.0326473,0.0507066,0.189227,0.486502,0.0268389,0.109727
BY60M-4_page_0238.out,,-0.0322573,0.05008,0.192167,0.501621,0.0279986,0.115886
BY60M-4_page_0239.out,,-0.0319046,0.0495369,0.194677,0.515405,0.0289646,0.121192
BY60M-4_page_0240.out,,-0.031541,0.0489823,0.197836,0.528649,0.0301537,0.12636
BY60M-4_page_0241.out,,-0.0311193,0.0484974,0.200997,0.541429,0.0313474,0.131401
BY60M-4_page_0242.out,,-0.0308858,0.0484545,0.200774,0.538145,0.0317096,0.131924
BY60M-4_page_0243.out,,-0.0304799,0.0480585,0.203985,0.549529,0.0329582,0.136262
BY60M-4_page_0244.out,,-0.030154,0.0477216,0.205088,0.550816,0.0335072,0.136424
BY60M-4_page_0245.out,,-0.0297629,0.047307,0.208157,0.559774,0.0346515,0.139356
BY60M-4_page_0246.out,,-0.0296146,0.0477609,0.210089,0.56408,0.0352426,0.139949
BY60M-4_page_0247.out,,-0.0294016,0.0474703,0.213598,0.571536,0.0364063,0.141491
BY60M-4_page_0248.out,,-0.0292128,0.0472987,0.216244,0.579776,0.0372525,0.143613
BY60M-4_page_0249.out,,-0.0288502,0.0470697,0.221027,0.599675,0.038774,0.15035
BY60M-4_page_0250.out,,-0.0286008,0.0467713,0.224226,0.608527,0.0398162,0.152964
BY60M-4_page_0251.out,,-0.0281395,0.0464063,0.227435,0.622369,0.0409146,0.157653
BY60M-4_page_0252.out,,-0.0278077,0.0462272,0.231181,0.636337,0.0421689,0.162492
BY60M-4_page_0253.out,,-0.0273106,0.0458074,0.233473,0.644032,0.0430876,0.165245
BY60M-4_page_0254.out,,-0.0269048,0.0456329,0.236633,0.65505,0.0442592,0.169481
BY60M-4_page_0255.out,,-0.0263453,0.0452957,0.239962,0.666928,0.0455734,0.174177
BY60M-4_page_0256.out,,-0.025884,0.0453468,0.243306,0.679427,0.0468036,0.178896
BY60M-4_page_0257.out,,-0.0253478,0.0454893,0.246179,0.692605,0.0480196,0.184398
BY60M-4_page_0258.out,,-0.0247421,0.0456437,0.249478,0.705892,0.0494522,0.18989
BY60M-4_page_0259.out,,-0.0240451,0.0463562,0.253346,0.725757,0.0510527,0.198183
BY60M-4_page_0260.out,,-0.02395,0.0463642,0.253182,0.724276,0.0510046,0.196962
BY60M-4_page_0261.out,,-0.0231815,0.0477843,0.258178,0.751176,0.0529554,0.20808
BY60M-4_page_0262.out,,-0.0225376,0.0487051,0.262352,0.768996,0.0545909,0.215108
BY60M-4_page_0263.out,,-0.0218117,0.0498238,0.266704,0.786017,0.0563347,0.222031
BY60M-4_page_0264.out,,-0.0211836,0.0509488,0.270039,0.80021,0.0577507,0.228177
BY60M-4_page_0265.out,,-0.0205395,0.052076,0.272321,0.811742,0.0589268,0.233661
BY60M-4_page_0266.out,,-0.0200119,0.0531857,0.275351,0.82435,0.0601646,0.238953
BY60M-4_page_0267.out,,-0.0195795,0.0553156,0.273927,0.825649,0.0602655,0.242075
BY60M-4_page_0268.out,,-0.018959,0.0568799,0.277385,0.840627,0.0616593,0.248236
