Filename,No,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60M-2_page_0057.out,57,-0.00589157,0.000704617,0.01842,0.00125554,-4.80E-05,0.000429515
BY60M-2_page_0058.out,58,-0.00603314,0.000701095,0.0188349,0.00130995,-5.60E-05,0.000435496
BY60M-2_page_0059.out,59,-0.0061625,0.000725993,0.0192612,0.00134155,-5.63E-05,0.000456159
BY60M-2_page_0060.out,60,-0.00629782,0.000741433,0.0196776,0.00138232,-5.35E-05,0.000454263
BY60M-2_page_0061.out,61,-0.00642565,0.000766704,0.0201061,0.00143081,-5.83E-05,0.000475779
BY60M-2_page_0062.out,62,-0.00656642,0.000791509,0.020542,0.00147129,-5.85E-05,0.000465368
BY60M-2_page_0063.out,63,-0.00671218,0.000800606,0.0209725,0.00152335,-5.45E-05,0.00049432
BY60M-2_page_0064.out,64,-0.00684266,0.000814183,0.0214209,0.00156628,-5.41E-05,0.000500686
BY60M-2_page_0065.out,65,-0.00699386,0.000830802,0.0218458,0.00163812,-6.32E-05,0.000518384
BY60M-2_page_0066.out,66,-0.00714533,0.00086492,0.0223006,0.00167085,-7.26E-05,0.000519354
BY60M-2_page_0067.out,67,-0.00728367,0.000865472,0.0227434,0.00173601,-5.74E-05,0.000540909
BY60M-2_page_0068.out,68,-0.00742909,0.000887031,0.0231948,0.00177282,-6.85E-05,0.000553965
BY60M-2_page_0069.out,69,-0.00757009,0.000911992,0.0236453,0.00185108,-6.97E-05,0.000559065
BY60M-2_page_0070.out,70,-0.00772381,0.000934661,0.0241043,0.00189191,-6.16E-05,0.000571121
BY60M-2_page_0071.out,71,-0.00787391,0.000948675,0.0245565,0.00195688,-7.36E-05,0.000568195
BY60M-2_page_0072.out,72,-0.00800714,0.000984038,0.0250133,0.00201643,-6.94E-05,0.000592197
BY60M-2_page_0073.out,73,-0.00816473,0.000995027,0.025468,0.00207386,-8.42E-05,0.000597072
BY60M-2_page_0074.out,74,-0.00831926,0.00101494,0.0259243,0.00213834,-7.59E-05,0.000609571
BY60M-2_page_0075.out,75,-0.00845885,0.00102788,0.0263918,0.00219645,-7.45E-05,0.000616675
BY60M-2_page_0076.out,76,-0.00860717,0.00104303,0.0268427,0.00227563,-7.51E-05,0.000623114
BY60M-2_page_0077.out,77,-0.00874895,0.0010622,0.027311,0.00233968,-8.24E-05,0.000645014
BY60M-2_page_0078.out,78,-0.0089012,0.00108544,0.0277668,0.0024154,-7.57E-05,0.000654769
BY60M-2_page_0079.out,79,-0.00905055,0.00110961,0.0282477,0.00247725,-8.87E-05,0.000662644
BY60M-2_page_0080.out,80,-0.00920886,0.00113298,0.0287056,0.00254399,-8.17E-05,0.000667812
BY60M-2_page_0081.out,81,-0.00936434,0.00116865,0.0291713,0.00262371,-8.58E-05,0.00068021
BY60M-2_page_0082.out,82,-0.00950802,0.00118627,0.0296424,0.002702,-8.43E-05,0.000693455
BY60M-2_page_0083.out,83,-0.00966164,0.00121442,0.0301131,0.0027738,-8.44E-05,0.000714174
BY60M-2_page_0084.out,84,-0.00981824,0.00123897,0.0305737,0.0028704,-9.38E-05,0.000723123
BY60M-2_page_0085.out,85,-0.00996129,0.00125973,0.0310403,0.00296778,-8.73E-05,0.00074071
BY60M-2_page_0086.out,86,-0.0101231,0.00129263,0.0315101,0.00303627,-9.74E-05,0.000752898
BY60M-2_page_0087.out,87,-0.0102691,0.00131087,0.0319785,0.00314486,-9.72E-05,0.000762507
