"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-8_page_0955.out",-0.00968038,0.00245928,0.0301641,0.00483708,-0.000220789,0.00108634
"BY60C-8_page_0956.out",-0.00981986,0.0024421,0.0306389,0.0049056,-0.000217782,0.00107383
"BY60C-8_page_0957.out",-0.00994441,0.0024799,0.0310716,0.00496897,-0.000228515,0.00108357
"BY60C-8_page_0958.out",-0.0100789,0.00247432,0.0314973,0.00505538,-0.000230784,0.00110633
"BY60C-8_page_0959.out",-0.0102464,0.00251093,0.031945,0.00512204,-0.000236489,0.00110292
"BY60C-8_page_0960.out",-0.0103704,0.00252753,0.0323761,0.00516572,-0.000232185,0.00110325
"BY60C-8_page_0961.out",-0.0105077,0.00252411,0.0327889,0.00525569,-0.000239783,0.00109536
"BY60C-8_page_0962.out",-0.0106475,0.0025281,0.0332423,0.00531337,-0.000245378,0.00110145
"BY60C-8_page_0963.out",-0.0107759,0.00256063,0.033646,0.00537754,-0.000251005,0.00113079
"BY60C-8_page_0964.out",-0.0109194,0.00258096,0.034099,0.00542837,-0.000242904,0.00111064
"BY60C-8_page_0965.out",-0.0110564,0.00258302,0.0345452,0.00549018,-0.00024587,0.00111054
"BY60C-8_page_0966.out",-0.0111796,0.00261268,0.0349504,0.00555506,-0.000254478,0.00113763
"BY60C-8_page_0967.out",-0.0113231,0.00261479,0.0353823,0.00562539,-0.000254396,0.00113566
"BY60C-8_page_0968.out",-0.0114586,0.002642,0.0358192,0.00568903,-0.000259296,0.0011339
"BY60C-8_page_0969.out",-0.0115783,0.00263703,0.036228,0.00574067,-0.000260499,0.00114645
"BY60C-8_page_0970.out",-0.0117171,0.00263795,0.0366744,0.00579739,-0.000271692,0.00115041
"BY60C-8_page_0971.out",-0.0118724,0.00265577,0.0371025,0.00585767,-0.000267671,0.00115952
"BY60C-8_page_0972.out",-0.0120129,0.00267473,0.0375274,0.00590825,-0.000277108,0.00116887
"BY60C-8_page_0973.out",-0.0121507,0.00268918,0.0379281,0.00597,-0.000273079,0.0011607
"BY60C-8_page_0974.out",-0.012262,0.00267999,0.0383724,0.00602664,-0.000293417,0.00118128
"BY60C-8_page_0975.out",-0.0124171,0.00267214,0.0387601,0.00608108,-0.000285049,0.00119487
"BY60C-8_page_0976.out",-0.0125482,0.00273727,0.0392028,0.00614654,-0.000288998,0.00118581
"BY60C-8_page_0977.out",-0.0126965,0.00274538,0.0396301,0.00618753,-0.000298076,0.00119958
"BY60C-8_page_0978.out",-0.012806,0.00272793,0.0400321,0.00625874,-0.000290894,0.00120984
"BY60C-8_page_0979.out",-0.0129455,0.0027226,0.040469,0.00631613,-0.000298877,0.0012198
"BY60C-8_page_0980.out",-0.0130766,0.00274866,0.0408948,0.00637429,-0.000313081,0.00121722
"BY60C-8_page_0981.out",-0.0132381,0.00277563,0.0413056,0.00643909,-0.000314637,0.00122629
"BY60C-8_page_0982.out",-0.0133396,0.00276925,0.0417418,0.00650527,-0.000299288,0.00122418
