"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-7_page_0685.out",-0.00780943,0.00147545,0.0225294,0.00288858,0.000574802,0.000964565
"BY60C-7_page_0686.out",-0.00796348,0.00149564,0.0229711,0.00292822,0.000578986,0.000987663
"BY60C-7_page_0687.out",-0.0081135,0.00147753,0.0233779,0.00296163,0.00058751,0.001002
"BY60C-7_page_0688.out",-0.00825852,0.00150179,0.0237824,0.00299491,0.000606366,0.00099428
"BY60C-7_page_0689.out",-0.00840113,0.0015104,0.0241892,0.0030446,0.000620115,0.00102094
"BY60C-7_page_0690.out",-0.00853969,0.00152022,0.0245979,0.00307682,0.000623079,0.00104108
"BY60C-7_page_0691.out",-0.00867108,0.00152421,0.0249967,0.00310692,0.000632231,0.00103602
"BY60C-7_page_0692.out",-0.00882967,0.00153751,0.0254289,0.00312864,0.000645053,0.00105044
"BY60C-7_page_0693.out",-0.00894978,0.00154317,0.0258336,0.00316301,0.000637794,0.00106312
"BY60C-7_page_0694.out",-0.00908511,0.0015412,0.0262285,0.00320125,0.000666224,0.0010605
"BY60C-7_page_0695.out",-0.0092173,0.00157738,0.0266426,0.00321795,0.00066206,0.00106983
"BY60C-7_page_0696.out",-0.00937811,0.00157349,0.0270353,0.00324667,0.000663112,0.00109141
"BY60C-7_page_0697.out",-0.00950548,0.00158606,0.0274428,0.00329034,0.00068759,0.00111064
"BY60C-7_page_0698.out",-0.00964797,0.00161278,0.0278445,0.00331427,0.00069531,0.00110625
"BY60C-7_page_0699.out",-0.00979091,0.00161644,0.0282275,0.00334056,0.000691134,0.00113524
"BY60C-7_page_0700.out",-0.00993606,0.00162941,0.0286572,0.0033743,0.000694279,0.0011238
"BY60C-7_page_0701.out",-0.0100686,0.00165087,0.0290429,0.00339888,0.000720672,0.00115924
"BY60C-7_page_0702.out",-0.0102114,0.00168265,0.0294235,0.00344022,0.000738225,0.00116788
"BY60C-7_page_0703.out",-0.0103552,0.0016776,0.02985,0.00346706,0.000742098,0.00116622
