Filename,No.,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60C-5_page_0256.out,255,0.0207841,0.0049034,-0.048169,0.0102477,-0.000742642,0.00321314
BY60C-5_page_0257.out,256,0.0206266,0.00487969,-0.0478376,0.0102551,-0.000734664,0.00320841
BY60C-5_page_0258.out,257,0.020484,0.00486374,-0.0475152,0.0102415,-0.000726152,0.00320902
BY60C-5_page_0259.out,258,0.0203651,0.00487513,-0.0471805,0.0102635,-0.000722225,0.00320883
BY60C-5_page_0260.out,259,0.0202456,0.00486786,-0.0468429,0.0102737,-0.000704334,0.00320514
BY60C-5_page_0261.out,260,0.0201034,0.00486127,-0.0465337,0.0102547,-0.000700501,0.00319262
BY60C-5_page_0262.out,261,0.019964,0.00483631,-0.0461815,0.0102721,-0.000696194,0.00319669
BY60C-5_page_0263.out,262,0.0198296,0.00485754,-0.0458437,0.0102567,-0.000695718,0.00317679
BY60C-5_page_0264.out,263,0.0196765,0.00486163,-0.0454865,0.0102707,-0.000673344,0.00317325
BY60C-5_page_0265.out,264,0.0195249,0.004821,-0.0451328,0.0102743,-0.000665238,0.0031809
BY60C-5_page_0266.out,265,0.0193887,0.00478425,-0.0447618,0.0102968,-0.000657731,0.00318135
BY60C-5_page_0267.out,266,0.0192547,0.00482817,-0.0444112,0.0102669,-0.000655088,0.00316785
BY60C-5_page_0268.out,267,0.019088,0.00481084,-0.0440322,0.0102881,-0.000648414,0.00316053
BY60C-5_page_0269.out,268,0.018938,0.00477851,-0.0436905,0.010263,-0.000638058,0.00315417
BY60C-5_page_0270.out,269,0.0188313,0.00478172,-0.043339,0.0102624,-0.000627508,0.00314422
BY60C-5_page_0271.out,270,0.0188739,0.00477454,-0.0435467,0.0102373,-0.000641976,0.00314254
BY60C-5_page_0272.out,271,0.0189877,0.00478056,-0.0438205,0.0102293,-0.000643508,0.00315161
BY60C-5_page_0273.out,272,0.0191185,0.00476738,-0.044106,0.0102481,-0.00064163,0.00317566
BY60C-5_page_0274.out,273,0.0192397,0.00475135,-0.0444071,0.0102319,-0.000659101,0.00315478
BY60C-5_page_0275.out,274,0.0193531,0.00477333,-0.04471,0.0102099,-0.000664607,0.00316829
BY60C-5_page_0276.out,275,0.0194684,0.00478154,-0.0449871,0.010226,-0.000677164,0.00318493
BY60C-5_page_0277.out,276,0.0195786,0.00478955,-0.0453259,0.0101903,-0.000677125,0.00317511
BY60C-5_page_0278.out,277,0.0197272,0.00478743,-0.0456099,0.0101898,-0.00068382,0.00318299
BY60C-5_page_0279.out,278,0.0198685,0.00479515,-0.0459202,0.0102063,-0.000708896,0.00319094
BY60C-5_page_0280.out,279,0.0199778,0.00480247,-0.0462412,0.0101846,-0.000710759,0.00320316
BY60C-5_page_0281.out,280,0.0200962,0.00481844,-0.0465745,0.0101811,-0.000707981,0.00320152
BY60C-5_page_0282.out,281,0.0202341,0.00480434,-0.0468661,0.0101945,-0.000729258,0.00318103
BY60C-5_page_0283.out,282,0.0203622,0.00482873,-0.0472139,0.0101548,-0.000734566,0.0032298
BY60C-5_page_0284.out,283,0.0205129,0.00482757,-0.0475403,0.0101575,-0.000735336,0.00320316
BY60C-5_page_0285.out,284,0.0206336,0.00483761,-0.0478634,0.0101789,-0.000742139,0.00321939
BY60C-5_page_0286.out,285,0.020779,0.00485173,-0.0481959,0.0101535,-0.000760275,0.00322501
BY60C-5_page_0287.out,286,0.0209202,0.0048373,-0.0485516,0.0101371,-0.000762001,0.00320694
BY60C-5_page_0288.out,287,0.021063,0.00484346,-0.0488816,0.0101673,-0.000764113,0.0032142
BY60C-5_page_0289.out,288,0.0211842,0.00486703,-0.049237,0.0101545,-0.000782106,0.00321054
BY60C-5_page_0290.out,289,0.0213266,0.00485589,-0.0495917,0.0101309,-0.000789789,0.00323557
BY60C-5_page_0291.out,290,0.0214915,0.00488129,-0.0499493,0.0101307,-0.000790933,0.00322935
BY60C-5_page_0292.out,291,0.0216294,0.00489858,-0.0503069,0.0101144,-0.000793776,0.00323833
BY60C-5_page_0293.out,292,0.0217748,0.00490202,-0.0506628,0.010098,-0.000810234,0.00322895
BY60C-5_page_0294.out,293,0.0219361,0.00490132,-0.0510239,0.0101474,-0.000829156,0.00324502
BY60C-5_page_0295.out,294,0.0220806,0.00491622,-0.0513898,0.0101364,-0.000832837,0.0032605
BY60C-5_page_0296.out,295,0.0222282,0.00492292,-0.0517486,0.0101355,-0.000844423,0.00327007
BY60C-5_page_0297.out,296,0.022348,0.00494498,-0.0521048,0.0101516,-0.000863591,0.00327378
BY60C-5_page_0298.out,297,0.0225278,0.00494612,-0.0524761,0.0101206,-0.0008686,0.00326007
BY60C-5_page_0299.out,298,0.0226928,0.00495542,-0.0528456,0.0101025,-0.000867029,0.0032775
BY60C-5_page_0300.out,299,0.0228297,0.00495513,-0.0532022,0.0101335,-0.00086494,0.00329262
BY60C-5_page_0301.out,300,0.0229736,0.00498683,-0.0535765,0.0101465,-0.000891833,0.00329198
BY60C-5_page_0302.out,301,0.0231205,0.00496624,-0.053929,0.0101355,-0.000909273,0.00328168
BY60C-5_page_0303.out,302,0.0231498,0.00496237,-0.0539304,0.0101568,-0.000902752,0.00328781
BY60C-5_page_0304.out,303,0.0229954,0.00496481,-0.053632,0.0101516,-0.000895833,0.00329093
BY60C-5_page_0305.out,304,0.0228857,0.00496215,-0.053304,0.0101593,-0.000865401,0.00328461
BY60C-5_page_0306.out,305,0.0227295,0.00493553,-0.0529818,0.0101268,-0.000867793,0.00327055
BY60C-5_page_0307.out,306,0.0226109,0.00496154,-0.0526587,0.0101324,-0.000863476,0.00327654
BY60C-5_page_0308.out,307,0.0224724,0.00491991,-0.0523102,0.0101563,-0.000867044,0.00326121
BY60C-5_page_0309.out,308,0.0223439,0.00491134,-0.0519689,0.0101482,-0.000850426,0.00326044
BY60C-5_page_0310.out,309,0.0221878,0.00493311,-0.0516283,0.0101362,-0.000838334,0.00325231
BY60C-5_page_0311.out,310,0.0220732,0.00489395,-0.0512813,0.0101345,-0.000826063,0.00325217
BY60C-5_page_0312.out,311,0.021918,0.00489074,-0.05093,0.0101399,-0.00081344,0.00323048
BY60C-5_page_0313.out,312,0.0217729,0.004912,-0.050585,0.0101256,-0.000811189,0.00323082
BY60C-5_page_0314.out,313,0.021638,0.00492081,-0.0502218,0.0101469,-0.000803354,0.00323568
BY60C-5_page_0315.out,314,0.0214875,0.00489875,-0.049897,0.010131,-0.000790835,0.0032159
BY60C-5_page_0316.out,315,0.0213443,0.00488355,-0.0495454,0.010158,-0.000788601,0.0032164
BY60C-5_page_0317.out,316,0.0211981,0.00488986,-0.0491903,0.0101734,-0.0007739,0.00321912
BY60C-5_page_0318.out,317,0.0210828,0.00488073,-0.0488664,0.0101408,-0.000767174,0.00320824
BY60C-5_page_0319.out,318,0.0209372,0.00486188,-0.0485136,0.0101354,-0.000756329,0.00319562
BY60C-5_page_0320.out,319,0.0207892,0.00485857,-0.0481553,0.0101637,-0.000744563,0.003203
BY60C-5_page_0321.out,320,0.0206288,0.00485075,-0.0478106,0.0101683,-0.000732008,0.00317805
BY60C-5_page_0322.out,321,0.0205142,0.0048609,-0.0474825,0.0101539,-0.000734034,0.0031802
BY60C-5_page_0323.out,322,0.0203672,0.00483735,-0.0471398,0.010176,-0.000725279,0.00319124
BY60C-5_page_0324.out,323,0.0202303,0.00483042,-0.0468125,0.0101827,-0.000715639,0.00317902
BY60C-5_page_0325.out,324,0.0200969,0.00483389,-0.0464812,0.0101593,-0.000708855,0.00318786
BY60C-5_page_0326.out,325,0.0199379,0.00484209,-0.0461287,0.0101712,-0.000699233,0.00317204
BY60C-5_page_0327.out,326,0.0198256,0.00480316,-0.0457866,0.0101926,-0.000688929,0.00314338
BY60C-5_page_0328.out,327,0.0196749,0.00482974,-0.0454681,0.0101618,-0.000677993,0.00314301
BY60C-5_page_0329.out,328,0.0195221,0.00480193,-0.045114,0.0102167,-0.000681995,0.00315715
BY60C-5_page_0330.out,329,0.0194025,0.00481647,-0.0447911,0.0102155,-0.000672014,0.00313703
BY60C-5_page_0331.out,330,0.0192718,0.00477732,-0.0444498,0.0102046,-0.00066154,0.00314853
BY60C-5_page_0332.out,331,0.0191209,0.00478871,-0.0441079,0.0102069,-0.000652008,0.00314467
BY60C-5_page_0333.out,332,0.0189965,0.00478595,-0.0437545,0.0102292,-0.000649909,0.00313451
BY60C-5_page_0334.out,333,0.0188498,0.00477453,-0.0434057,0.0102143,-0.000633515,0.00310847
BY60C-5_page_0335.out,334,0.0187156,0.00477767,-0.043061,0.0102353,-0.00062496,0.00312956
BY60C-5_page_0336.out,335,0.0185399,0.00476713,-0.0427125,0.0102365,-0.000620226,0.00312746
BY60C-5_page_0337.out,336,0.0184048,0.00475323,-0.0423488,0.0102143,-0.000620143,0.00310956
BY60C-5_page_0338.out,337,0.0182612,0.00472188,-0.0419666,0.0102215,-0.000598643,0.00310195
BY60C-5_page_0339.out,338,0.0181221,0.00471578,-0.0416033,0.0102195,-0.000595188,0.00309384
BY60C-5_page_0340.out,339,0.0179707,0.00473149,-0.0412608,0.0102136,-0.000586122,0.00308625
BY60C-5_page_0341.out,340,0.0178254,0.00469639,-0.040896,0.0102251,-0.000571881,0.00309442
BY60C-5_page_0342.out,341,0.0178258,0.00470547,-0.0409323,0.0102199,-0.00058911,0.00307612
BY60C-5_page_0343.out,342,0.0179211,0.00472413,-0.0412174,0.0101906,-0.00059692,0.0031189
BY60C-5_page_0344.out,343,0.0180552,0.00471773,-0.0415148,0.0101947,-0.000584777,0.00311289
BY60C-5_page_0345.out,344,0.0181867,0.00471804,-0.0418094,0.0102077,-0.000598561,0.00309347
BY60C-5_page_0346.out,345,0.0182864,0.00470742,-0.0420991,0.0102067,-0.000612672,0.00310855
BY60C-5_page_0347.out,346,0.0184253,0.00471366,-0.0424166,0.0101585,-0.000633297,0.0031031
BY60C-5_page_0348.out,347,0.0185368,0.00472884,-0.0427097,0.010159,-0.000629419,0.00310174
BY60C-5_page_0349.out,348,0.0186679,0.00472664,-0.0430162,0.0101713,-0.000640384,0.00312531
BY60C-5_page_0350.out,349,0.0187777,0.00475693,-0.0433299,0.0101408,-0.000646384,0.00311853
BY60C-5_page_0351.out,350,0.0189179,0.00474069,-0.043666,0.0101407,-0.000656744,0.00314155
BY60C-5_page_0352.out,351,0.0190569,0.00473892,-0.0439785,0.0101503,-0.000662877,0.0031387
BY60C-5_page_0353.out,352,0.0191931,0.0047205,-0.0443208,0.0101129,-0.000667864,0.00313283
BY60C-5_page_0354.out,353,0.0193327,0.00475099,-0.0446387,0.0101224,-0.000688829,0.00313763
BY60C-5_page_0355.out,354,0.0194395,0.00473597,-0.0449673,0.0101321,-0.000697785,0.00314675
BY60C-5_page_0356.out,355,0.0196038,0.00476574,-0.0453163,0.0100986,-0.000693188,0.00314708
BY60C-5_page_0357.out,356,0.0197506,0.00476908,-0.0456424,0.0101024,-0.000703827,0.00314444
BY60C-5_page_0358.out,357,0.0198823,0.00476866,-0.0459927,0.0101022,-0.000719863,0.00313884
BY60C-5_page_0359.out,358,0.019992,0.00476314,-0.0463499,0.0100915,-0.000723854,0.00315795
BY60C-5_page_0360.out,359,0.0201605,0.0047786,-0.0466851,0.0100881,-0.000736261,0.00318048
BY60C-5_page_0361.out,360,0.0203014,0.00479056,-0.0470208,0.0100985,-0.000748797,0.00316313
BY60C-5_page_0362.out,361,0.0204324,0.00479912,-0.0473852,0.0100664,-0.0007525,0.00317395
BY60C-5_page_0363.out,362,0.0205971,0.0048001,-0.0477357,0.0100937,-0.000757719,0.00318707
BY60C-5_page_0364.out,363,0.0207456,0.00481794,-0.0481018,0.0100891,-0.000780559,0.00318442
BY60C-5_page_0365.out,364,0.0208982,0.00482979,-0.0484796,0.0100457,-0.000772594,0.00317351
BY60C-5_page_0366.out,365,0.0210461,0.00483714,-0.0488286,0.0100776,-0.000781386,0.00318219
BY60C-5_page_0367.out,366,0.0211772,0.0048348,-0.0492166,0.010079,-0.00079891,0.00318784
BY60C-5_page_0368.out,367,0.021342,0.00484887,-0.0495864,0.0100795,-0.000800277,0.00318866
BY60C-5_page_0369.out,368,0.0215126,0.00485424,-0.0499536,0.0100824,-0.000811929,0.00321601
BY60C-5_page_0370.out,369,0.0216485,0.00485779,-0.0503218,0.0100881,-0.00082516,0.00320281
BY60C-5_page_0371.out,370,0.0218103,0.00486543,-0.0507119,0.0100803,-0.000825296,0.00320967
BY60C-5_page_0372.out,371,0.0219572,0.00486002,-0.0510947,0.0100679,-0.000841551,0.00321595
BY60C-5_page_0373.out,372,0.0221043,0.00488574,-0.0514706,0.0100908,-0.000843303,0.00323608
BY60C-5_page_0374.out,373,0.022262,0.00489853,-0.05185,0.0101058,-0.000848363,0.00323517
BY60C-5_page_0375.out,374,0.0224326,0.00488752,-0.0522231,0.0100931,-0.000856248,0.00324956
BY60C-5_page_0376.out,375,0.0226127,0.00494551,-0.0525863,0.0100978,-0.00087614,0.0032566
BY60C-5_page_0377.out,376,0.0226954,0.004942,-0.0528588,0.0101053,-0.000886109,0.00324285
BY60C-5_page_0378.out,377,0.0225896,0.00493441,-0.0526049,0.0101124,-0.000868338,0.0032538
BY60C-5_page_0379.out,378,0.0224418,0.00492284,-0.052294,0.0101237,-0.000862625,0.00323549
BY60C-5_page_0380.out,379,0.0223245,0.00491373,-0.0519575,0.0101345,-0.000851177,0.00322177
BY60C-5_page_0381.out,380,0.0222112,0.00489185,-0.0516275,0.0101028,-0.000842345,0.00324473
BY60C-5_page_0382.out,381,0.0220546,0.00488711,-0.0512731,0.0100909,-0.00082942,0.00321577
BY60C-5_page_0383.out,382,0.0218842,0.00488176,-0.0509261,0.0100867,-0.000815177,0.00322211
BY60C-5_page_0384.out,383,0.0217545,0.00490894,-0.0505757,0.0100811,-0.00082838,0.00321206
BY60C-5_page_0385.out,384,0.0216348,0.00487042,-0.050213,0.0101052,-0.000812387,0.00322449
BY60C-5_page_0386.out,385,0.0214748,0.00486657,-0.0498561,0.0100874,-0.000807244,0.00317515
BY60C-5_page_0387.out,386,0.0213367,0.00486069,-0.0495016,0.0101072,-0.000787892,0.00318968
BY60C-5_page_0388.out,387,0.0211882,0.0048584,-0.0491245,0.01009,-0.000778979,0.00319816
BY60C-5_page_0389.out,388,0.0210505,0.00483864,-0.0487828,0.0100873,-0.000782807,0.00317391
BY60C-5_page_0390.out,389,0.0209,0.00482571,-0.0484118,0.0101071,-0.000770992,0.00316708
BY60C-5_page_0391.out,390,0.0207433,0.00482957,-0.048063,0.0100985,-0.000761801,0.00317554
BY60C-5_page_0392.out,391,0.0206186,0.00482227,-0.047719,0.010094,-0.000745558,0.00316412
BY60C-5_page_0393.out,392,0.0204644,0.00481794,-0.0473623,0.0100867,-0.000759395,0.00315472
BY60C-5_page_0394.out,393,0.0203334,0.00481474,-0.0470129,0.0100917,-0.000739628,0.00314648
BY60C-5_page_0395.out,394,0.020183,0.00479334,-0.0466682,0.010084,-0.000729019,0.00315523
BY60C-5_page_0396.out,395,0.0200244,0.00477398,-0.0463017,0.0101071,-0.000734769,0.00314923
BY60C-5_page_0397.out,396,0.0198947,0.00478946,-0.0459569,0.0101117,-0.000723072,0.00313239
BY60C-5_page_0398.out,397,0.0197537,0.00478413,-0.0455997,0.010121,-0.000696292,0.00312958
BY60C-5_page_0399.out,398,0.0196105,0.00477315,-0.0452664,0.0101071,-0.000691127,0.00314688
BY60C-5_page_0400.out,399,0.019475,0.00477621,-0.044906,0.010134,-0.000686645,0.00312698
BY60C-5_page_0401.out,400,0.0193336,0.00476209,-0.0445824,0.0101209,-0.000676486,0.00312988
BY60C-5_page_0402.out,401,0.0191798,0.00476926,-0.044231,0.0101145,-0.000670896,0.00312263
BY60C-5_page_0403.out,402,0.0190462,0.00474863,-0.0438716,0.0101519,-0.000657751,0.00311197
BY60C-5_page_0404.out,403,0.0188962,0.00474765,-0.0435383,0.0101377,-0.000649525,0.00310267
BY60C-5_page_0405.out,404,0.0187687,0.00473821,-0.0431974,0.0101551,-0.000632547,0.0031027
BY60C-5_page_0406.out,405,0.0186466,0.00473067,-0.0428515,0.0101576,-0.000634805,0.00310552
BY60C-5_page_0407.out,406,0.0184883,0.00473268,-0.0425123,0.0101649,-0.000624564,0.00310493
BY60C-5_page_0408.out,407,0.0183519,0.00472065,-0.0421713,0.0101609,-0.000614118,0.00307795
BY60C-5_page_0409.out,408,0.0181944,0.00471015,-0.0418103,0.0101941,-0.000609062,0.00308979
BY60C-5_page_0410.out,409,0.0180379,0.00472476,-0.0414656,0.0101667,-0.000608448,0.0030651
BY60C-5_page_0411.out,410,0.0178999,0.00471382,-0.0411075,0.0101628,-0.000596792,0.00308228
BY60C-5_page_0412.out,411,0.0177686,0.00467398,-0.0407561,0.0101837,-0.000580741,0.00307458
BY60C-5_page_0413.out,412,0.017605,0.00468687,-0.0404053,0.0101785,-0.000564024,0.00306475
BY60C-5_page_0414.out,413,0.0174921,0.00468226,-0.0400463,0.0101794,-0.000565281,0.00305921
BY60C-5_page_0415.out,414,0.0173414,0.0046609,-0.0396645,0.0101944,-0.00055785,0.0030592
BY60C-5_page_0416.out,415,0.0171555,0.00467159,-0.0393047,0.0101572,-0.00054441,0.00304468
BY60C-5_page_0417.out,416,0.0170264,0.00467365,-0.0388887,0.010186,-0.000518562,0.00304922
BY60C-5_page_0418.out,417,0.0168572,0.0046288,-0.0384859,0.0101838,-0.00052333,0.00304932
BY60C-5_page_0419.out,418,0.0166915,0.00461366,-0.0381163,0.0101485,-0.000497077,0.00304642
BY60C-5_page_0420.out,419,0.0167679,0.00461861,-0.0383199,0.0101339,-0.000505657,0.00304046
BY60C-5_page_0421.out,420,0.0169083,0.00463139,-0.0385994,0.0101141,-0.000510112,0.00307057
BY60C-5_page_0422.out,421,0.016993,0.00461592,-0.0388946,0.0101218,-0.000522066,0.00306103
BY60C-5_page_0423.out,422,0.0171266,0.00462143,-0.0391976,0.0101238,-0.000539415,0.00305788
BY60C-5_page_0424.out,423,0.0172417,0.00462888,-0.0395075,0.0101325,-0.000539523,0.00305328
BY60C-5_page_0425.out,424,0.0173725,0.00462759,-0.0398079,0.0101129,-0.000554857,0.00305909
BY60C-5_page_0426.out,425,0.0174943,0.004613,-0.0401224,0.0100929,-0.000564891,0.0030588
BY60C-5_page_0427.out,426,0.0176396,0.0046495,-0.0404326,0.0101006,-0.00057807,0.00308071
BY60C-5_page_0428.out,427,0.0177621,0.00463862,-0.0407655,0.0100892,-0.000588762,0.00307977
BY60C-5_page_0429.out,428,0.0178903,0.00466157,-0.0410917,0.0100525,-0.000599138,0.00309194
BY60C-5_page_0430.out,429,0.0180292,0.00466964,-0.0414176,0.0100768,-0.000604839,0.00308688
BY60C-5_page_0431.out,430,0.0181513,0.00465626,-0.0417381,0.0100973,-0.00060713,0.00311351
BY60C-5_page_0432.out,431,0.0182717,0.00466657,-0.042078,0.010072,-0.000616813,0.00310689
BY60C-5_page_0433.out,432,0.0184163,0.00467442,-0.0424167,0.0100536,-0.000620137,0.0030968
BY60C-5_page_0434.out,433,0.0185572,0.00468032,-0.0427511,0.0100468,-0.000638062,0.00310416
BY60C-5_page_0435.out,434,0.0186998,0.00467835,-0.0430997,0.0100307,-0.000636934,0.00311147
BY60C-5_page_0436.out,435,0.0188293,0.00468864,-0.043447,0.0100251,-0.000648268,0.00311235
BY60C-5_page_0437.out,436,0.0189712,0.00468397,-0.0437944,0.0100481,-0.00065456,0.00312761
BY60C-5_page_0438.out,437,0.0191456,0.00469884,-0.0441605,0.0100273,-0.000669743,0.00313127
BY60C-5_page_0439.out,438,0.0192751,0.00471202,-0.0445173,0.010016,-0.00068075,0.00313608
BY60C-5_page_0440.out,439,0.0194216,0.00472157,-0.0448668,0.0100183,-0.000683152,0.00314577
BY60C-5_page_0441.out,440,0.0195673,0.00469277,-0.0452498,0.0100125,-0.000686658,0.00313603
BY60C-5_page_0442.out,441,0.0197173,0.00473714,-0.0456127,0.00999852,-0.000698987,0.00314843
BY60C-5_page_0443.out,442,0.0198655,0.00470774,-0.045966,0.0100231,-0.000721043,0.00314682
BY60C-5_page_0444.out,443,0.0200162,0.00473385,-0.0463528,0.010002,-0.000723342,0.00315535
BY60C-5_page_0445.out,444,0.0201697,0.0047603,-0.0467211,0.010023,-0.000734964,0.00314495
BY60C-5_page_0446.out,445,0.0203465,0.00476194,-0.0470942,0.0100176,-0.000746024,0.00318255
BY60C-5_page_0447.out,446,0.0204767,0.00478449,-0.0474804,0.0100116,-0.000752115,0.00317839
BY60C-5_page_0448.out,447,0.0206168,0.00479654,-0.0478484,0.0100273,-0.000758219,0.00317294
BY60C-5_page_0449.out,448,0.0208003,0.0047987,-0.0482306,0.0100079,-0.000769275,0.00319828
BY60C-5_page_0450.out,449,0.0209585,0.00478987,-0.0486266,0.0100104,-0.000777626,0.00319003
BY60C-5_page_0451.out,450,0.0211093,0.00482126,-0.0490178,0.010009,-0.000786556,0.00318107
BY60C-5_page_0452.out,451,0.0212494,0.00481761,-0.0494056,0.0100241,-0.000801942,0.00319089
BY60C-5_page_0453.out,452,0.021429,0.00481816,-0.0497949,0.0100325,-0.00080664,0.00320597
BY60C-5_page_0454.out,453,0.0215759,0.00483342,-0.050177,0.0100456,-0.000807357,0.00321355
BY60C-5_page_0455.out,454,0.0217454,0.00487138,-0.0505707,0.0100476,-0.000824212,0.00322311
BY60C-5_page_0456.out,455,0.0218999,0.00487971,-0.0509517,0.0100539,-0.000833691,0.00321675
BY60C-5_page_0457.out,456,0.0220615,0.00485778,-0.0513222,0.0100769,-0.000831827,0.00322651
BY60C-5_page_0458.out,457,0.0221844,0.00489388,-0.0516312,0.0100674,-0.000833049,0.00324608
BY60C-5_page_0459.out,458,0.0220745,0.00486742,-0.0513742,0.0100625,-0.000842161,0.00321513
BY60C-5_page_0460.out,459,0.0219513,0.00487501,-0.0510342,0.0100552,-0.000822798,0.00323097
BY60C-5_page_0461.out,460,0.0218169,0.00487604,-0.0507005,0.0100456,-0.000826123,0.00322995
BY60C-5_page_0462.out,461,0.02167,0.00486796,-0.0503566,0.010047,-0.000822616,0.00320714
BY60C-5_page_0463.out,462,0.0215258,0.00486244,-0.0499861,0.010057,-0.000802837,0.00320708
BY60C-5_page_0464.out,463,0.0213834,0.00482962,-0.0496337,0.0100499,-0.000793024,0.00320465
BY60C-5_page_0465.out,464,0.0212179,0.00482738,-0.0492507,0.0100467,-0.000782197,0.00318988
BY60C-5_page_0466.out,465,0.0210809,0.0048198,-0.0488858,0.0100347,-0.000776877,0.00318459
BY60C-5_page_0467.out,466,0.0209453,0.00482163,-0.0485231,0.0100215,-0.000765924,0.00318501
BY60C-5_page_0468.out,467,0.0207735,0.00481624,-0.048156,0.0100339,-0.000766404,0.00316514
BY60C-5_page_0469.out,468,0.0206175,0.00481148,-0.0477955,0.010021,-0.000751183,0.00316509
BY60C-5_page_0470.out,469,0.0205069,0.00478119,-0.0474272,0.0100295,-0.000732231,0.00315266
BY60C-5_page_0471.out,470,0.0203557,0.00479501,-0.0470498,0.0100461,-0.00073598,0.00316846
BY60C-5_page_0472.out,471,0.0202006,0.00478022,-0.0466883,0.0100526,-0.000721539,0.00316356
BY60C-5_page_0473.out,472,0.0200414,0.00476603,-0.0463253,0.0100455,-0.000720154,0.00314558
BY60C-5_page_0474.out,473,0.0199102,0.00477912,-0.0459581,0.0100493,-0.000703945,0.00314245
BY60C-5_page_0475.out,474,0.0197549,0.00474341,-0.045599,0.0100228,-0.00069304,0.00315136
BY60C-5_page_0476.out,475,0.0196032,0.00474228,-0.0452378,0.010035,-0.000683723,0.0031266
BY60C-5_page_0477.out,476,0.0194588,0.00473275,-0.0448716,0.0100452,-0.000682146,0.00312907
BY60C-5_page_0478.out,477,0.0193252,0.00471241,-0.0445364,0.0100564,-0.000670314,0.00313269
BY60C-5_page_0479.out,478,0.0191751,0.00472618,-0.0441497,0.0100758,-0.000646508,0.00311564
BY60C-5_page_0480.out,479,0.019029,0.00471723,-0.0437893,0.0100791,-0.000651519,0.00311689
BY60C-5_page_0481.out,480,0.0188941,0.00472074,-0.0434522,0.0100377,-0.000643612,0.00310102
BY60C-5_page_0482.out,481,0.0187308,0.00471706,-0.0430896,0.0100624,-0.000628414,0.00310528
BY60C-5_page_0483.out,482,0.0185923,0.00470745,-0.0427412,0.0100663,-0.000622176,0.00309619
BY60C-5_page_0484.out,483,0.0184507,0.00468175,-0.0423924,0.0100502,-0.000618341,0.00308721
BY60C-5_page_0485.out,484,0.0183116,0.00470432,-0.0420364,0.0101049,-0.000609252,0.00308435
BY60C-5_page_0486.out,485,0.0181468,0.00468311,-0.0416744,0.0100993,-0.000592691,0.00308136
BY60C-5_page_0487.out,486,0.0180231,0.00469712,-0.0413288,0.0100808,-0.000589198,0.00308672
BY60C-5_page_0488.out,487,0.0178861,0.00467858,-0.040962,0.010111,-0.000579783,0.00307568
BY60C-5_page_0489.out,488,0.0177412,0.00466827,-0.0406324,0.010105,-0.000573769,0.00307924
BY60C-5_page_0490.out,489,0.017596,0.00467892,-0.0402797,0.0101134,-0.000554489,0.00306463
BY60C-5_page_0491.out,490,0.0174476,0.00467115,-0.0399339,0.0101116,-0.00054547,0.0030665
BY60C-5_page_0492.out,491,0.0173008,0.00465605,-0.0395821,0.0101331,-0.000539513,0.00305869
BY60C-5_page_0493.out,492,0.0171419,0.00464475,-0.0392317,0.0101362,-0.000532572,0.00305266
BY60C-5_page_0494.out,493,0.0169964,0.00464602,-0.0388604,0.0101295,-0.000517407,0.00305985
BY60C-5_page_0495.out,494,0.0168573,0.00461586,-0.0384896,0.0101239,-0.00051467,0.00302078
BY60C-5_page_0496.out,495,0.016703,0.00460526,-0.0381275,0.0101437,-0.000489588,0.00304659
BY60C-5_page_0497.out,496,0.0165561,0.00459135,-0.0377477,0.010154,-0.000485714,0.00303707
BY60C-5_page_0498.out,497,0.0163986,0.00463208,-0.037377,0.0101557,-0.000492449,0.00301559
BY60C-5_page_0499.out,498,0.0162253,0.00458487,-0.0369727,0.0101689,-0.000468775,0.00304529
BY60C-5_page_0500.out,499,0.0160654,0.00458358,-0.036567,0.0101217,-0.000455431,0.00300742
BY60C-5_page_0501.out,500,0.0158938,0.00455254,-0.0361338,0.0101205,-0.00045808,0.00299191
BY60C-5_page_0502.out,501,0.0157075,0.00454231,-0.035709,0.0101401,-0.000437666,0.00300061
BY60C-5_page_0503.out,502,0.0155423,0.00453965,-0.0352928,0.0101192,-0.000434912,0.00299122
BY60C-5_page_0504.out,503,0.0155367,0.00452239,-0.0352764,0.0100969,-0.000434078,0.002985
BY60C-5_page_0505.out,504,0.0156411,0.00450717,-0.0355352,0.0100978,-0.000442563,0.00300304
BY60C-5_page_0506.out,505,0.0157654,0.00452393,-0.0358546,0.0100614,-0.000449935,0.00299347
BY60C-5_page_0507.out,506,0.0158847,0.00453177,-0.0361587,0.0100469,-0.000465867,0.00298691
BY60C-5_page_0508.out,507,0.0160166,0.00452672,-0.0364505,0.0100739,-0.000474484,0.00301682
BY60C-5_page_0509.out,508,0.0161283,0.00452708,-0.0367787,0.0100608,-0.000475042,0.00303143
BY60C-5_page_0510.out,509,0.0162414,0.0045431,-0.0371087,0.0100415,-0.000491941,0.00302303
BY60C-5_page_0511.out,510,0.0164108,0.00453687,-0.0374057,0.0100513,-0.000499208,0.00302831
BY60C-5_page_0512.out,511,0.0165174,0.00453046,-0.0377283,0.0100148,-0.000502797,0.00304699
BY60C-5_page_0513.out,512,0.016637,0.00452602,-0.0380692,0.00999962,-0.000513607,0.00304041
BY60C-5_page_0514.out,513,0.0167952,0.00454304,-0.0383823,0.0100009,-0.000516601,0.0030594
