Filename,No.,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60C-5_page_0059.out,58,0.0228606,0.00504236,-0.0534995,0.0102882,-0.000882704,0.00332363
BY60C-5_page_0060.out,59,0.0227562,0.00504871,-0.0531818,0.010297,-0.000869098,0.00332313
BY60C-5_page_0061.out,60,0.0228313,0.00505123,-0.0533683,0.0103011,-0.000879339,0.00334941
BY60C-5_page_0062.out,61,0.0229449,0.00504332,-0.0536309,0.0102883,-0.000882334,0.00332101
BY60C-5_page_0063.out,62,0.0230399,0.00505522,-0.0539009,0.0102735,-0.000880347,0.00333062
BY60C-5_page_0064.out,63,0.0231551,0.0050422,-0.0541758,0.0102745,-0.000893091,0.0033585
BY60C-5_page_0065.out,64,0.023271,0.00505493,-0.0544481,0.0102698,-0.00088361,0.00333981
BY60C-5_page_0066.out,65,0.023372,0.00506823,-0.0547235,0.0102662,-0.000904313,0.00334048
BY60C-5_page_0067.out,66,0.0234958,0.00506755,-0.0550137,0.010233,-0.000916187,0.00335589
BY60C-5_page_0068.out,67,0.0236161,0.00507118,-0.055309,0.0102462,-0.00091426,0.00338368
BY60C-5_page_0069.out,68,0.0237215,0.00508703,-0.0555971,0.0102436,-0.000921225,0.0033625
BY60C-5_page_0070.out,69,0.023855,0.00508623,-0.0559111,0.0102323,-0.000944932,0.00337637
BY60C-5_page_0071.out,70,0.023978,0.00508472,-0.0561852,0.0102419,-0.000925,0.00337619
BY60C-5_page_0072.out,71,0.0241011,0.00510263,-0.0564699,0.0102199,-0.000941907,0.0033805
BY60C-5_page_0073.out,72,0.0242225,0.00511858,-0.0567391,0.0102288,-0.00094466,0.003384
BY60C-5_page_0074.out,73,0.0243181,0.00511288,-0.0570292,0.0102144,-0.000955841,0.00337849
BY60C-5_page_0075.out,74,0.0244342,0.00508579,-0.0573172,0.0101809,-0.000962486,0.0034073
BY60C-5_page_0076.out,75,0.0245702,0.00511548,-0.0576012,0.010189,-0.000980179,0.00340356
BY60C-5_page_0077.out,76,0.0246036,0.00507871,-0.0576782,0.0102016,-0.000973166,0.00341115
BY60C-5_page_0078.out,77,0.0244924,0.00510046,-0.0574294,0.0102073,-0.000971423,0.00340535
BY60C-5_page_0079.out,78,0.0243917,0.00507451,-0.0571541,0.0102162,-0.000957267,0.00340536
BY60C-5_page_0080.out,79,0.0242865,0.00509836,-0.0568815,0.0102334,-0.000945414,0.0033896
BY60C-5_page_0081.out,80,0.0241896,0.00510257,-0.0566217,0.0102443,-0.000940483,0.00337803
BY60C-5_page_0082.out,81,0.0240948,0.00507789,-0.0563658,0.0102334,-0.000941188,0.00337631
BY60C-5_page_0083.out,82,0.0239521,0.00508406,-0.0560828,0.0102452,-0.000941558,0.00336276
BY60C-5_page_0084.out,83,0.0238354,0.00507936,-0.0557984,0.0102476,-0.000928916,0.00334766
BY60C-5_page_0085.out,84,0.0237087,0.00508051,-0.0554999,0.0102657,-0.000908205,0.00336013
BY60C-5_page_0086.out,85,0.0235875,0.00507624,-0.055211,0.0102687,-0.000917668,0.00335422
BY60C-5_page_0087.out,86,0.0234654,0.00504669,-0.0549114,0.0102527,-0.000907801,0.0033435
BY60C-5_page_0088.out,87,0.0233485,0.00506156,-0.0546331,0.0102413,-0.000900041,0.00334317
BY60C-5_page_0089.out,88,0.0232289,0.00505861,-0.0543433,0.0102571,-0.000880925,0.00334413
BY60C-5_page_0090.out,89,0.0231087,0.00504582,-0.0540467,0.0102749,-0.000884515,0.00333631
BY60C-5_page_0091.out,90,0.0229716,0.00503838,-0.0537401,0.0102979,-0.000884262,0.00333396
BY60C-5_page_0092.out,91,0.0228556,0.00502458,-0.0534508,0.0102781,-0.000879115,0.00333057
BY60C-5_page_0093.out,92,0.0227347,0.00501765,-0.0531451,0.0102962,-0.000852404,0.0033243
BY60C-5_page_0094.out,93,0.0226124,0.0050055,-0.0528468,0.0102851,-0.000840753,0.00330348
BY60C-5_page_0095.out,94,0.0224829,0.00502046,-0.0525104,0.0102894,-0.000853129,0.00330484
BY60C-5_page_0096.out,95,0.0223327,0.00502172,-0.0521775,0.0102977,-0.000842696,0.00331305
BY60C-5_page_0097.out,96,0.0221714,0.00502014,-0.0518339,0.0103324,-0.000829661,0.00329188
BY60C-5_page_0098.out,97,0.0220425,0.00501404,-0.0514926,0.0103059,-0.00082016,0.00328905
BY60C-5_page_0099.out,98,0.0219144,0.00499313,-0.0511127,0.010342,-0.000820151,0.00327555
BY60C-5_page_0100.out,99,0.0218217,0.00498862,-0.0508823,0.0103351,-0.000799706,0.00328529
BY60C-5_page_0101.out,100,0.0219108,0.00498689,-0.0511236,0.0103251,-0.000807389,0.00329537
BY60C-5_page_0102.out,101,0.0220068,0.00499012,-0.0513905,0.01031,-0.000811443,0.00328639
BY60C-5_page_0103.out,102,0.0221219,0.00499851,-0.0516572,0.0102885,-0.000827833,0.00330575
BY60C-5_page_0104.out,103,0.0222558,0.00498967,-0.0519381,0.0102929,-0.000833353,0.00329918
BY60C-5_page_0105.out,104,0.0223704,0.00500717,-0.052221,0.0102706,-0.000843965,0.00331283
BY60C-5_page_0106.out,105,0.0225037,0.00498897,-0.0525152,0.0102822,-0.000838328,0.00332862
BY60C-5_page_0107.out,106,0.0226063,0.00500321,-0.0527947,0.01028,-0.00084157,0.00331472
BY60C-5_page_0108.out,107,0.0227392,0.00499982,-0.0531117,0.0102734,-0.000865076,0.00332738
BY60C-5_page_0109.out,108,0.0228478,0.0050188,-0.0534176,0.0102764,-0.000885815,0.00332102
BY60C-5_page_0110.out,109,0.0229753,0.00501002,-0.0537228,0.0102611,-0.000888461,0.00332577
BY60C-5_page_0111.out,110,0.023111,0.00503457,-0.0540223,0.0102606,-0.000885509,0.0033376
BY60C-5_page_0112.out,111,0.023242,0.00503243,-0.0543402,0.0102459,-0.000887826,0.00335257
BY60C-5_page_0113.out,112,0.0233731,0.00504387,-0.0546449,0.0102523,-0.000901438,0.00332539
BY60C-5_page_0114.out,113,0.0235118,0.00503444,-0.0549569,0.0102462,-0.000915734,0.00334198
BY60C-5_page_0115.out,114,0.0236293,0.00505572,-0.0552816,0.0102471,-0.000919004,0.00336181
BY60C-5_page_0116.out,115,0.0237609,0.00505957,-0.0555884,0.0102487,-0.000920381,0.0033554
BY60C-5_page_0117.out,116,0.0238711,0.00505071,-0.055912,0.0102316,-0.000938108,0.00334199
BY60C-5_page_0118.out,117,0.0240278,0.00508629,-0.0562087,0.0102208,-0.000927474,0.00337127
BY60C-5_page_0119.out,118,0.0241604,0.00508648,-0.0565074,0.0102229,-0.000936681,0.00338498
BY60C-5_page_0120.out,119,0.0242604,0.00510408,-0.0568139,0.0102212,-0.000947547,0.00337938
BY60C-5_page_0121.out,120,0.0243636,0.00509944,-0.0570121,0.0102264,-0.000967338,0.00336717
BY60C-5_page_0122.out,121,0.024258,0.00508368,-0.0567935,0.010236,-0.000952691,0.00337309
BY60C-5_page_0123.out,122,0.0241712,0.00509261,-0.0565363,0.0102322,-0.00094555,0.00337778
BY60C-5_page_0124.out,123,0.0240568,0.00509776,-0.0562744,0.010213,-0.000937282,0.00336916
BY60C-5_page_0125.out,124,0.0239265,0.00505981,-0.0559777,0.0102396,-0.000939504,0.00334934
BY60C-5_page_0126.out,125,0.0238215,0.00505612,-0.0556966,0.0102452,-0.000928327,0.00334547
BY60C-5_page_0127.out,126,0.0236943,0.00506796,-0.0553823,0.0102579,-0.0009211,0.00335384
