"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-10_page_0001.out",-6.33667e-17,2.72495e-17,-3.61116e-17,2.85382e-17,5.78102e-20,2.91335e-17
"BY60C-10_page_0002.out",-8.39285e-05,0.000116502,0.000253734,0.000107271,1.34185e-05,8.85873e-05
"BY60C-10_page_0003.out",-0.000182823,0.000112903,0.000519898,0.000136797,2.59672e-05,8.5648e-05
"BY60C-10_page_0004.out",-0.000263482,0.000126726,0.000771748,0.000124325,1.96915e-05,0.000101555
"BY60C-10_page_0005.out",-0.0003485,0.000120872,0.00102846,0.000118754,2.59023e-05,9.91793e-05
"BY60C-10_page_0006.out",-0.000443001,0.000147673,0.00129548,0.000153325,3.11616e-05,0.000112167
"BY60C-10_page_0007.out",-0.000534923,0.000173854,0.00157144,0.000136248,2.86809e-05,0.000131899
"BY60C-10_page_0008.out",-0.000624475,0.000153901,0.00182769,0.000148601,3.26914e-05,0.000127228
"BY60C-10_page_0009.out",-0.000702935,0.000167384,0.00211377,0.000179862,2.98981e-05,0.000126156
"BY60C-10_page_0010.out",-0.000805984,0.000163481,0.00239338,0.000190029,4.0307e-05,0.000155878
"BY60C-10_page_0011.out",-0.000870383,0.000165396,0.00260346,0.000181481,3.26161e-05,0.000141267
"BY60C-10_page_0012.out",-0.000800726,0.000186407,0.00238027,0.000168538,2.51816e-05,0.000149383
"BY60C-10_page_0013.out",-0.000706076,0.000176304,0.00209651,0.00017946,3.81596e-05,0.000127021
"BY60C-10_page_0014.out",-0.00061895,0.000181101,0.001821,0.000161762,3.21573e-05,0.000131784
"BY60C-10_page_0015.out",-0.000531558,0.000159494,0.00152956,0.000161735,2.35152e-05,0.000130701
"BY60C-10_page_0016.out",-0.000450523,0.000158308,0.00126074,0.000147735,2.77117e-05,0.000107877
"BY60C-10_page_0017.out",-0.00036934,0.000156719,0.000994657,0.000116603,2.50133e-05,0.000100318
"BY60C-10_page_0018.out",-0.000256269,0.000118776,0.000706607,0.00015107,3.08214e-05,0.000102252
"BY60C-10_page_0019.out",-0.000187802,0.000147556,0.000424363,0.000169584,2.60056e-05,9.76452e-05
"BY60C-10_page_0020.out",-7.90845e-05,0.000121703,0.000159412,0.000152301,1.5291e-05,8.86748e-05
"BY60C-10_page_0021.out",-8.91863e-06,0.000141377,-9.57658e-05,0.000126051,1.19352e-05,8.60433e-05
"BY60C-10_page_0022.out",8.89519e-05,0.000143864,-0.000373355,0.000137471,3.24696e-06,6.48882e-05
"BY60C-10_page_0023.out",0.000109256,0.000118366,-0.000396396,0.000124638,6.05797e-06,6.56898e-05
"BY60C-10_page_0024.out",1.6347e-05,0.000116997,-0.000131068,0.000129108,1.80989e-05,7.46412e-05
"BY60C-10_page_0025.out",-6.96007e-05,0.000143569,0.000133746,0.000124633,1.18694e-05,9.08376e-05
"BY60C-10_page_0026.out",-0.000159394,0.000164274,0.000395363,0.000140653,2.79484e-05,0.000101926
"BY60C-10_page_0027.out",-0.000254892,0.000163522,0.000642483,0.000154928,1.89405e-05,9.23523e-05
"BY60C-10_page_0028.out",-0.000352427,0.000156655,0.000931724,0.000146208,2.4741e-05,0.000101855
"BY60C-10_page_0029.out",-0.000422943,0.000161496,0.00121131,0.000148987,3.88485e-05,0.000107783
"BY60C-10_page_0030.out",-0.000534759,0.000171273,0.00149012,0.000156555,2.40029e-05,0.000122913
"BY60C-10_page_0031.out",-0.000609232,0.000170401,0.0017615,0.000175533,1.91514e-05,0.00012447
"BY60C-10_page_0032.out",-0.000701055,0.000188507,0.00205837,0.000185867,2.53653e-05,0.000129864
"BY60C-10_page_0033.out",-0.000781496,0.000160179,0.0023177,0.000187793,3.42797e-05,0.000142301
"BY60C-10_page_0034.out",-0.000865877,0.000175892,0.00260578,0.00020702,2.027e-05,0.000151501
"BY60C-10_page_0035.out",-0.000973703,0.00017283,0.00290206,0.000221844,2.01394e-05,0.000145087
"BY60C-10_page_0036.out",-0.0010585,0.000176268,0.00316751,0.000244725,2.35681e-05,0.000166512
"BY60C-10_page_0037.out",-0.00114628,0.00021076,0.00346246,0.000254979,7.63356e-06,0.000161958
"BY60C-10_page_0038.out",-0.00124721,0.000190884,0.00377146,0.000273963,7.41443e-06,0.000165667
"BY60C-10_page_0039.out",-0.00135218,0.000205102,0.00407209,0.000273182,1.44392e-05,0.000185706
"BY60C-10_page_0040.out",-0.00144764,0.000212806,0.0043663,0.000287283,1.40859e-05,0.000195462
"BY60C-10_page_0041.out",-0.00151562,0.000221409,0.00454584,0.000298526,2.26475e-05,0.000200173
"BY60C-10_page_0042.out",-0.00141452,0.000216021,0.00425543,0.000291537,1.40158e-05,0.000187473
"BY60C-10_page_0043.out",-0.0013406,0.000232637,0.00400054,0.000282126,1.93952e-05,0.000196025
"BY60C-10_page_0044.out",-0.00124627,0.000185228,0.00372654,0.000280415,1.89619e-05,0.000174805
"BY60C-10_page_0045.out",-0.00112618,0.000215538,0.00342562,0.000277677,3.3649e-05,0.000171775
"BY60C-10_page_0046.out",-0.00105872,0.00019467,0.00315456,0.000261143,3.42986e-05,0.000169891
"BY60C-10_page_0047.out",-0.000964479,0.000204993,0.00286578,0.000299325,2.47477e-05,0.000162099
"BY60C-10_page_0048.out",-0.000876933,0.000183547,0.00257029,0.000245542,3.10369e-05,0.000159085
"BY60C-10_page_0049.out",-0.000798581,0.00019814,0.00227029,0.000221168,2.33516e-05,0.000147017
"BY60C-10_page_0050.out",-0.000694889,0.000201747,0.00199427,0.000228654,3.66262e-05,0.000160657
"BY60C-10_page_0051.out",-0.000582555,0.000182606,0.00169839,0.00022956,2.72503e-05,0.000129312
"BY60C-10_page_0052.out",-0.000513606,0.000184713,0.00141219,0.000228353,1.27601e-05,0.0001251
"BY60C-10_page_0053.out",-0.000413262,0.000174315,0.00110695,0.000210685,2.52587e-05,0.000120303
"BY60C-10_page_0054.out",-0.000310429,0.000188124,0.00082352,0.000195494,2.1322e-05,0.000103121
"BY60C-10_page_0055.out",-0.000225609,0.000197009,0.000534768,0.000177312,2.95117e-05,9.20161e-05
"BY60C-10_page_0056.out",-0.000108682,0.000167944,0.000247055,0.000208483,2.40256e-05,9.91328e-05
"BY60C-10_page_0057.out",-4.73153e-05,0.000191516,-2.9533e-05,0.000225048,2.0994e-05,9.80039e-05
"BY60C-10_page_0058.out",-9.24394e-05,0.000190741,0.00011725,0.00024049,3.0666e-05,0.000108425
"BY60C-10_page_0059.out",-0.000184849,0.000188072,0.000389486,0.000210642,1.49564e-05,9.77298e-05
"BY60C-10_page_0060.out",-0.000255753,0.000183548,0.000671896,0.000210762,1.78039e-05,9.73227e-05
"BY60C-10_page_0061.out",-0.000357923,0.000197951,0.000946043,0.000204931,1.18043e-05,0.000118287
"BY60C-10_page_0062.out",-0.000435758,0.000179199,0.00122238,0.000232533,2.69667e-05,0.000129837
"BY60C-10_page_0063.out",-0.000541497,0.00020156,0.0015051,0.000302074,1.88699e-05,0.000116079
"BY60C-10_page_0064.out",-0.00062885,0.000221991,0.00181789,0.000229585,4.03596e-05,0.000131667
"BY60C-10_page_0065.out",-0.000733209,0.000227123,0.00210587,0.000239982,3.76271e-05,0.000146033
"BY60C-10_page_0066.out",-0.00081084,0.000211179,0.00239085,0.000244734,2.97427e-05,0.00015935
"BY60C-10_page_0067.out",-0.000926077,0.000211563,0.00272057,0.000250261,2.30554e-05,0.000172145
"BY60C-10_page_0068.out",-0.00101402,0.000226612,0.0029826,0.000277098,3.75027e-05,0.000162123
"BY60C-10_page_0069.out",-0.00112731,0.000204852,0.00327863,0.000248865,2.97397e-05,0.000167283
"BY60C-10_page_0070.out",-0.00120378,0.000221019,0.00356426,0.00031531,1.17578e-05,0.000172897
"BY60C-10_page_0071.out",-0.00130757,0.000231157,0.00385511,0.000292223,1.9582e-05,0.000185536
"BY60C-10_page_0072.out",-0.00139094,0.000224516,0.00414287,0.000284041,1.79724e-05,0.00020023
"BY60C-10_page_0073.out",-0.00149311,0.000223177,0.00443712,0.000304783,1.65453e-05,0.000195009
"BY60C-10_page_0074.out",-0.00160333,0.00026443,0.00474066,0.000348918,6.76356e-06,0.000189701
"BY60C-10_page_0075.out",-0.00168609,0.000278855,0.00503426,0.000371899,1.86212e-05,0.000223894
"BY60C-10_page_0076.out",-0.00178092,0.000258309,0.00535033,0.000364106,1.82105e-05,0.000229007
"BY60C-10_page_0077.out",-0.00189396,0.000282309,0.00568802,0.000375859,1.95818e-05,0.000233085
"BY60C-10_page_0078.out",-0.0020225,0.000301871,0.00602501,0.000398715,2.54342e-05,0.000250468
"BY60C-10_page_0079.out",-0.00212373,0.000290946,0.00635839,0.000419787,1.72549e-05,0.000268968
"BY60C-10_page_0080.out",-0.00224361,0.000312521,0.00672554,0.000457479,2.22745e-05,0.000270988
"BY60C-10_page_0081.out",-0.00221428,0.000300062,0.00661724,0.000466134,2.1806e-05,0.000276641
"BY60C-10_page_0082.out",-0.00210613,0.000293558,0.00633647,0.000442697,1.84201e-05,0.000266304
"BY60C-10_page_0083.out",-0.00200861,0.000264712,0.0060544,0.000432341,2.56171e-05,0.000262813
"BY60C-10_page_0084.out",-0.00194373,0.000265118,0.00577798,0.000421337,1.556e-05,0.000244957
"BY60C-10_page_0085.out",-0.00183251,0.000267677,0.00548659,0.000400586,1.71354e-05,0.000240064
"BY60C-10_page_0086.out",-0.00174533,0.000264023,0.00518935,0.000411314,1.81845e-05,0.00024013
"BY60C-10_page_0087.out",-0.00166664,0.00024433,0.00490259,0.000424693,1.7108e-05,0.000219372
"BY60C-10_page_0088.out",-0.00155215,0.000254802,0.0045964,0.000382648,2.21619e-05,0.000213639
"BY60C-10_page_0089.out",-0.00143309,0.000262053,0.00428903,0.00037722,2.69045e-05,0.000215885
"BY60C-10_page_0090.out",-0.00132383,0.000223519,0.00400253,0.000357935,2.58001e-05,0.000211826
"BY60C-10_page_0091.out",-0.00126849,0.000241982,0.00370073,0.000356124,2.19964e-05,0.000196046
"BY60C-10_page_0092.out",-0.00115919,0.000242927,0.00337236,0.000357434,2.20809e-05,0.00020275
"BY60C-10_page_0093.out",-0.00107963,0.000256843,0.00307557,0.000351382,3.30412e-05,0.000176953
"BY60C-10_page_0094.out",-0.000964098,0.000263397,0.00276593,0.00035831,2.33936e-05,0.000179224
"BY60C-10_page_0095.out",-0.000861999,0.000290495,0.00245778,0.000309824,3.11036e-05,0.000168612
"BY60C-10_page_0096.out",-0.000744817,0.000278506,0.00215335,0.000304341,2.5226e-05,0.000166546
"BY60C-10_page_0097.out",-0.00065501,0.000296156,0.00185559,0.000293672,2.24456e-05,0.000154169
"BY60C-10_page_0098.out",-0.000558275,0.000273597,0.00150946,0.000288584,2.87438e-05,0.000136246
"BY60C-10_page_0099.out",-0.000446476,0.000252836,0.00120637,0.000299308,2.54002e-05,0.000134095
"BY60C-10_page_0100.out",-0.000356286,0.000271394,0.000893598,0.000304279,2.14627e-05,0.000119984
"BY60C-10_page_0101.out",-0.000259826,0.00024812,0.000596657,0.00025264,2.37955e-05,0.000118132
"BY60C-10_page_0102.out",-0.000308621,0.000253723,0.000776497,0.000280035,2.02383e-05,0.000120484
"BY60C-10_page_0103.out",-0.000389023,0.000257208,0.00104863,0.00032983,2.40565e-05,0.000135553
"BY60C-10_page_0104.out",-0.000485731,0.000281465,0.00133066,0.000308765,3.34472e-05,0.000145424
"BY60C-10_page_0105.out",-0.000589899,0.000285653,0.00164484,0.000313029,3.40971e-05,0.000142219
"BY60C-10_page_0106.out",-0.000684358,0.000280918,0.00192112,0.000306036,4.0412e-05,0.000159427
"BY60C-10_page_0107.out",-0.000807972,0.000258848,0.00222813,0.000343052,2.32248e-05,0.00017143
"BY60C-10_page_0108.out",-0.000894343,0.000260377,0.00255357,0.000323199,2.03439e-05,0.000167902
"BY60C-10_page_0109.out",-0.000987434,0.000261431,0.00287638,0.000328832,2.84498e-05,0.000172996
"BY60C-10_page_0110.out",-0.0010854,0.000271992,0.00317159,0.000351743,2.2002e-05,0.000178377
"BY60C-10_page_0111.out",-0.00117237,0.000251543,0.00347415,0.000369006,1.43777e-05,0.000183436
"BY60C-10_page_0112.out",-0.00128012,0.000253404,0.0037821,0.000384577,2.34197e-05,0.000205164
"BY60C-10_page_0113.out",-0.00136245,0.000241877,0.00407909,0.000363643,3.00677e-05,0.000217814
"BY60C-10_page_0114.out",-0.00147275,0.000289423,0.00437365,0.000404072,1.85657e-05,0.000211976
"BY60C-10_page_0115.out",-0.00158848,0.000289136,0.00470799,0.000405734,2.31552e-05,0.000209475
"BY60C-10_page_0116.out",-0.00167434,0.000301061,0.00499794,0.000430469,2.46625e-05,0.000226028
"BY60C-10_page_0117.out",-0.00177927,0.000289252,0.00528485,0.000436337,2.51041e-05,0.000252007
"BY60C-10_page_0118.out",-0.00189086,0.000279637,0.00560513,0.000451065,1.4487e-05,0.00025264
"BY60C-10_page_0119.out",-0.00198861,0.00032461,0.00591265,0.000447322,1.47583e-05,0.000247687
"BY60C-10_page_0120.out",-0.00209012,0.000330674,0.00618553,0.000481388,2.08221e-05,0.000264916
"BY60C-10_page_0121.out",-0.00218479,0.00033175,0.0065238,0.000500317,2.29117e-05,0.000284076
"BY60C-10_page_0122.out",-0.0022828,0.000361118,0.00683404,0.0005052,2.52045e-05,0.000297727
"BY60C-10_page_0123.out",-0.00239027,0.000355784,0.00715059,0.000540388,1.70327e-05,0.000309021
"BY60C-10_page_0124.out",-0.00250432,0.000363832,0.00749349,0.000534944,1.94941e-05,0.000321386
"BY60C-10_page_0125.out",-0.0026045,0.000387066,0.0078292,0.000563337,2.51493e-05,0.000336057
"BY60C-10_page_0126.out",-0.0027299,0.000380623,0.00816737,0.000600197,2.53048e-05,0.000352569
"BY60C-10_page_0127.out",-0.00283997,0.000389673,0.00852553,0.000648208,3.214e-05,0.000361264
"BY60C-10_page_0128.out",-0.00295656,0.000398583,0.00889688,0.000690305,1.69519e-05,0.000373825
"BY60C-10_page_0129.out",-0.00301214,0.00038312,0.00906358,0.000691835,2.00961e-05,0.000372682
"BY60C-10_page_0130.out",-0.00290257,0.000385933,0.00881999,0.000677422,3.2169e-05,0.000374121
"BY60C-10_page_0131.out",-0.00283452,0.000397154,0.00852261,0.000681244,2.30781e-05,0.00037868
"BY60C-10_page_0132.out",-0.00274777,0.000380985,0.00822181,0.000656944,2.00896e-05,0.000368252
"BY60C-10_page_0133.out",-0.00265503,0.000393669,0.00794456,0.00064308,1.67585e-05,0.000346702
"BY60C-10_page_0134.out",-0.00256551,0.000389627,0.00766379,0.000624869,1.34202e-05,0.000348997
"BY60C-10_page_0135.out",-0.00246317,0.000386514,0.00733832,0.000627752,5.31793e-06,0.00034371
"BY60C-10_page_0136.out",-0.00236613,0.000367087,0.00704772,0.00060051,1.73155e-05,0.000311344
"BY60C-10_page_0137.out",-0.00225172,0.000334387,0.00675737,0.000590399,8.58661e-06,0.000301262
"BY60C-10_page_0138.out",-0.00213922,0.00033689,0.00645121,0.000593438,1.12355e-05,0.000303244
"BY60C-10_page_0139.out",-0.00205424,0.000306883,0.00613182,0.000560608,2.39634e-05,0.000299668
"BY60C-10_page_0140.out",-0.00195087,0.000331479,0.0058509,0.000540364,2.6321e-05,0.000281112
