Filename,mean(exx),mean(eyy),mean(exy)
BY60M-3_page_0093.out,-0.0101439,0.0336038,-0.00040923
BY60M-3_page_0094.out,-0.0102989,0.0341172,-0.00042348
BY60M-3_page_0095.out,-0.0104577,0.0346452,-0.000433295
BY60M-3_page_0096.out,-0.0106216,0.0351828,-0.000425301
BY60M-3_page_0097.out,-0.0107713,0.0357116,-0.000437071
BY60M-3_page_0098.out,-0.0109434,0.036264,-0.000437401
BY60M-3_page_0099.out,-0.0111154,0.0368011,-0.000440093
BY60M-3_page_0100.out,-0.0112907,0.0373568,-0.000459185
BY60M-3_page_0101.out,-0.0114495,0.0379256,-0.000456756
BY60M-3_page_0102.out,-0.0116279,0.0384959,-0.000461815
BY60M-3_page_0103.out,-0.0118052,0.0390803,-0.000470339
BY60M-3_page_0104.out,-0.011992,0.0396844,-0.000481983
BY60M-3_page_0105.out,-0.0121772,0.0402915,-0.000484569
BY60M-3_page_0106.out,-0.0123783,0.0409278,-0.000483736
BY60M-3_page_0107.out,-0.0125824,0.0415797,-0.000487814
BY60M-3_page_0108.out,-0.012832,0.0423268,-0.000498489
BY60M-3_page_0109.out,-0.0130899,0.0431202,-0.000516489
BY60M-3_page_0110.out,-0.0133882,0.0439828,-0.000522516
BY60M-3_page_0111.out,-0.0137193,0.0449308,-0.000550449
BY60M-3_page_0112.out,-0.0140927,0.0459066,-0.000573571
BY60M-3_page_0113.out,-0.0144533,0.0469262,-0.000591729
BY60M-3_page_0114.out,-0.0148018,0.0479069,-0.000616706
BY60M-3_page_0115.out,-0.0151212,0.0488527,-0.00062218
BY60M-3_page_0116.out,-0.0154517,0.0498089,-0.000626716
BY60M-3_page_0117.out,-0.0157772,0.0508265,-0.000627465
BY60M-3_page_0118.out,-0.0160875,0.0518503,-0.000620919
BY60M-3_page_0119.out,-0.016419,0.0529075,-0.000603055
BY60M-3_page_0120.out,-0.0167706,0.054033,-0.000572111
BY60M-3_page_0121.out,-0.017099,0.0551569,-0.000528618
BY60M-3_page_0122.out,-0.0174146,0.0563061,-0.000491484
BY60M-3_page_0123.out,-0.0177433,0.0574308,-0.000448657
BY60M-3_page_0124.out,-0.0180473,0.0586021,-0.000378929
BY60M-3_page_0125.out,-0.0183526,0.0598261,-0.000316916
BY60M-3_page_0126.out,-0.0186541,0.0610334,-0.00023506
BY60M-3_page_0127.out,-0.0189616,0.0622092,-0.000153651
BY60M-3_page_0128.out,-0.0192205,0.0634468,-5.33E-05
BY60M-3_page_0129.out,-0.0195081,0.0647117,5.57E-05
BY60M-3_page_0130.out,-0.0197787,0.0660129,0.000180881
BY60M-3_page_0131.out,-0.0200537,0.0673716,0.000321189
BY60M-3_page_0132.out,-0.0203323,0.0688794,0.000489714
BY60M-3_page_0133.out,-0.0206025,0.0704646,0.000700156
BY60M-3_page_0134.out,-0.0208561,0.0721116,0.000932807
BY60M-3_page_0135.out,-0.0211052,0.0738267,0.00118567
BY60M-3_page_0136.out,-0.0213544,0.0757051,0.00149485
BY60M-3_page_0137.out,-0.0215724,0.0779232,0.00189519
BY60M-3_page_0138.out,-0.0217769,0.08014,0.00233316
BY60M-3_page_0139.out,-0.0219379,0.0822002,0.00272796
BY60M-3_page_0140.out,-0.0221319,0.0842061,0.003127
BY60M-3_page_0141.out,-0.0222919,0.08619,0.0035214
BY60M-3_page_0142.out,-0.0224263,0.0881127,0.00391251
BY60M-3_page_0143.out,-0.0225697,0.0899812,0.00428714
BY60M-3_page_0144.out,-0.0227321,0.0919402,0.00468169
BY60M-3_page_0145.out,-0.0228547,0.0939831,0.00510682
BY60M-3_page_0146.out,-0.0229888,0.0959387,0.00551966
BY60M-3_page_0147.out,-0.0231046,0.097916,0.00593562
BY60M-3_page_0148.out,-0.0232142,0.0999145,0.00638311
BY60M-3_page_0149.out,-0.023258,0.102363,0.00697679
BY60M-3_page_0150.out,-0.0232903,0.104906,0.00760412
BY60M-3_page_0151.out,-0.023326,0.107387,0.00822812
BY60M-3_page_0152.out,-0.0233925,0.109822,0.00884131
BY60M-3_page_0153.out,-0.0234136,0.112304,0.00946242
BY60M-3_page_0154.out,-0.0234504,0.114815,0.0101099
BY60M-3_page_0155.out,-0.0234656,0.117426,0.0107929
BY60M-3_page_0156.out,-0.0234731,0.12005,0.0114807
BY60M-3_page_0157.out,-0.0234749,0.122656,0.0121498
BY60M-3_page_0158.out,-0.0234545,0.125323,0.0128441
BY60M-3_page_0159.out,-0.0234734,0.128024,0.0135162
BY60M-3_page_0160.out,-0.0235401,0.130728,0.0141469
BY60M-3_page_0161.out,-0.0235277,0.133639,0.0148897
BY60M-3_page_0162.out,-0.0234801,0.136839,0.0157712
BY60M-3_page_0163.out,-0.0233106,0.140341,0.0168056
BY60M-3_page_0164.out,-0.0231058,0.14391,0.0179009
BY60M-3_page_0165.out,-0.022857,0.147523,0.0190517
BY60M-3_page_0166.out,-0.0225752,0.15127,0.0202465
BY60M-3_page_0167.out,-0.0222237,0.155186,0.0215478
BY60M-3_page_0168.out,-0.0217649,0.159778,0.0230652
BY60M-3_page_0169.out,-0.0212411,0.164452,0.0246623
BY60M-3_page_0170.out,-0.0207129,0.169052,0.0262753
BY60M-3_page_0171.out,-0.0201311,0.173892,0.0279854
BY60M-3_page_0172.out,-0.0194369,0.179132,0.029891
BY60M-3_page_0173.out,-0.0186126,0.184773,0.032014
BY60M-3_page_0174.out,-0.0176669,0.190646,0.0342634
BY60M-3_page_0175.out,-0.0167461,0.196633,0.0365105
BY60M-3_page_0176.out,-0.0159094,0.202272,0.038603
BY60M-3_page_0177.out,-0.0151045,0.207823,0.0406621
BY60M-3_page_0178.out,-0.0142947,0.213227,0.0426739
BY60M-3_page_0179.out,-0.0134809,0.218636,0.0447103
BY60M-3_page_0180.out,-0.0126148,0.224173,0.0467814
BY60M-3_page_0181.out,-0.0117108,0.229893,0.0489542
BY60M-3_page_0182.out,-0.0107219,0.235894,0.0512417
BY60M-3_page_0183.out,-0.00968133,0.242168,0.053631
BY60M-3_page_0184.out,-0.00864482,0.248484,0.056024
BY60M-3_page_0185.out,-0.00745107,0.255111,0.0586367
BY60M-3_page_0186.out,-0.006286,0.261724,0.0612601
BY60M-3_page_0187.out,-0.00508309,0.26843,0.0639094
BY60M-3_page_0188.out,-0.00387736,0.275102,0.0665577
BY60M-3_page_0189.out,-0.00269935,0.28178,0.0691919
BY60M-3_page_0190.out,-0.00140343,0.288617,0.0719158
BY60M-3_page_0191.out,-8.13E-05,0.295728,0.0747637
BY60M-3_page_0192.out,0.00129242,0.302924,0.07767
BY60M-3_page_0193.out,0.00266581,0.31021,0.0806018
BY60M-3_page_0194.out,0.00404434,0.317409,0.0835197
BY60M-3_page_0195.out,0.00548989,0.32491,0.0865493
BY60M-3_page_0196.out,0.00693687,0.332479,0.089605
BY60M-3_page_0197.out,0.00842527,0.339995,0.0926731
BY60M-3_page_0198.out,0.00997803,0.347783,0.0958514
BY60M-3_page_0199.out,0.0116093,0.355909,0.0992054
BY60M-3_page_0200.out,0.0133324,0.364276,0.102679
BY60M-3_page_0201.out,0.0151291,0.372934,0.106285
BY60M-3_page_0202.out,0.0170111,0.381984,0.110051
BY60M-3_page_0203.out,0.0190187,0.391464,0.114011
BY60M-3_page_0204.out,0.0211047,0.401299,0.118102
BY60M-3_page_0205.out,0.0233808,0.411455,0.122464
BY60M-3_page_0206.out,0.0255284,0.421566,0.126701
BY60M-3_page_0207.out,0.0277949,0.431604,0.131021
BY60M-3_page_0208.out,0.0315945,0.441824,0.135898
BY60M-3_page_0209.out,0.0337304,0.451451,0.14002
BY60M-3_page_0210.out,0.0359655,0.461297,0.144248
BY60M-3_page_0211.out,0.0382243,0.471005,0.14845
BY60M-3_page_0212.out,0.0406454,0.481143,0.152879
BY60M-3_page_0213.out,0.0431445,0.491424,0.157387
BY60M-3_page_0214.out,0.0456877,0.501858,0.161984
BY60M-3_page_0215.out,0.0483375,0.512839,0.166785
BY60M-3_page_0216.out,0.0509945,0.523801,0.171559
BY60M-3_page_0217.out,0.0537277,0.535066,0.176485
BY60M-3_page_0218.out,0.0565981,0.546536,0.181525
BY60M-3_page_0219.out,0.0593775,0.557476,0.186325
BY60M-3_page_0220.out,0.0620562,0.568305,0.19107
BY60M-3_page_0221.out,0.064819,0.579453,0.195969
BY60M-3_page_0222.out,0.0678017,0.590897,0.201008
