Filename,mean(exx),mean(eyy),mean(exy)
BY60M-4_page_0001.out,-5.40E-17,-4.83E-17,2.02E-20
BY60M-4_page_0002.out,1.72E-06,-8.68E-07,7.47E-06
BY60M-4_page_0003.out,5.84E-07,3.85E-06,1.00E-05
BY60M-4_page_0004.out,1.83E-06,-5.82E-06,8.42E-06
BY60M-4_page_0005.out,-6.37E-06,4.45E-06,8.42E-06
BY60M-4_page_0006.out,-8.43E-07,-6.06E-06,7.20E-06
BY60M-4_page_0007.out,-3.02E-06,4.44E-06,8.90E-06
BY60M-4_page_0008.out,-7.29E-05,0.000243213,4.57E-06
BY60M-4_page_0009.out,-0.000162824,0.000503132,2.91E-06
BY60M-4_page_0010.out,-0.000258831,0.000761709,7.54E-06
BY60M-4_page_0011.out,-0.000327572,0.00103762,-8.51E-07
BY60M-4_page_0012.out,-0.000418389,0.00131443,3.59E-06
BY60M-4_page_0013.out,-0.000530863,0.00159231,-9.47E-06
BY60M-4_page_0014.out,-0.000621119,0.00187903,-9.34E-06
BY60M-4_page_0015.out,-0.000730445,0.0021589,2.26E-07
BY60M-4_page_0016.out,-0.000822428,0.00243805,-1.29E-05
BY60M-4_page_0017.out,-0.00092735,0.00273227,-1.86E-05
BY60M-4_page_0018.out,-0.00102317,0.00301225,-1.39E-05
BY60M-4_page_0019.out,-0.00113077,0.00331516,-1.81E-05
BY60M-4_page_0020.out,-0.0012236,0.00361442,-2.07E-05
BY60M-4_page_0021.out,-0.00131872,0.00391729,-2.15E-05
BY60M-4_page_0022.out,-0.00142914,0.00423392,-1.98E-05
BY60M-4_page_0023.out,-0.00152772,0.00455713,-1.97E-05
BY60M-4_page_0024.out,-0.00163198,0.00490366,-2.18E-05
BY60M-4_page_0025.out,-0.00175251,0.00524776,-2.28E-05
BY60M-4_page_0026.out,-0.0018646,0.00560887,-2.38E-05
BY60M-4_page_0027.out,-0.00198005,0.00596582,-3.17E-05
BY60M-4_page_0028.out,-0.00209498,0.00632698,-3.67E-05
BY60M-4_page_0029.out,-0.0022175,0.00669757,-3.09E-05
BY60M-4_page_0030.out,-0.00233917,0.00706036,-4.10E-05
BY60M-4_page_0031.out,-0.00246469,0.00742934,-3.98E-05
BY60M-4_page_0032.out,-0.00259206,0.00780621,-3.79E-05
BY60M-4_page_0033.out,-0.00269916,0.0081811,-4.46E-05
