General : Start Date,3/28/2019 12:57 PM,
Custom choice input : Operator,Ping,
Text Inputs : Specimen label,w20s1.2n1,
Custom choice input : Material,Polypropylene,
Dimension : Length,200,mm
Dimension : Thickness,5.3,mm
Dimension : Width,20.3,mm
Dimension : Area,1.0759,cm^2
,,
Time,Extension,Load
(sec),(mm),(N)
17.6852,0.55742,9.90512
17.7852,0.56107,9.95092
17.8852,0.56421,9.98538
17.9852,0.56742,10.02401
18.0852,0.57095,10.06658
18.1852,0.57412,10.0994
18.2852,0.57731,10.13353
18.3852,0.58093,10.17392
18.4852,0.58427,10.20619
18.5852,0.58745,10.23504
18.6852,0.59096,10.26668
18.7852,0.59425,10.29261
18.8852,0.59732,10.31692
18.9852,0.60089,10.35078
19.0852,0.60437,10.37832
19.1852,0.60741,10.40293
19.2852,0.61092,10.44258
19.3852,0.61441,10.47628
19.4852,0.61735,10.50557
19.5852,0.62078,10.54969
19.6852,0.62439,10.59095
19.7852,0.62743,10.62195
19.8852,0.63085,10.6668
19.9852,0.63445,10.71121
20.0852,0.63744,10.74266
20.1852,0.64069,10.78072
20.2852,0.64427,10.82411
20.3852,0.64744,10.86314
20.4852,0.6507,10.89607
20.5852,0.65436,10.93402
20.6852,0.65758,10.95995
20.7852,0.66077,10.97652
20.8852,0.66429,10.99977
20.9852,0.66755,11.00983
21.0852,0.67069,11.01574
21.1852,0.67431,11.02423
21.2852,0.67772,11.02299
21.3852,0.68077,11.0278
21.4852,0.68431,11.04526
21.5852,0.68771,11.05671
21.6852,0.6906,11.06652
21.7852,0.69412,11.09839
21.8852,0.69773,11.12766
21.9852,0.70071,11.1476
22.0852,0.7042,11.17702
22.1852,0.70784,11.21296
22.2852,0.7108,11.23605
22.3852,0.71409,11.26563
22.4852,0.71769,11.30317
22.5852,0.72078,11.33279
22.6852,0.72408,11.36828
22.7852,0.72775,11.40586
22.8852,0.73094,11.43631
22.9852,0.73411,11.47302
23.0852,0.73763,11.51142
23.1852,0.74088,11.54154
23.2852,0.74399,11.57552
23.3852,0.74759,11.61651
23.4852,0.75099,11.65905
23.5852,0.75403,11.6932
23.6852,0.75758,11.73116
23.7852,0.76099,11.76853
23.8852,0.76402,11.79939
23.9852,0.76753,11.83688
24.0852,0.77108,11.8785
24.1852,0.77409,11.90647
24.2852,0.77752,11.94137
24.3852,0.7811,11.98165
24.4852,0.78411,12.00873
24.5852,0.78743,12.04411
24.6852,0.79105,12.08208
24.7852,0.79412,12.1075
24.8852,0.79741,12.14465
24.9852,0.80102,12.18164
25.0852,0.8042,12.21591
25.1852,0.80741,12.24749
25.2852,0.81096,12.29215
25.3852,0.81425,12.33002
25.4852,0.81739,12.37473
25.5852,0.82094,12.42523
25.6852,0.8243,12.47505
25.7852,0.82738,12.5179
25.8852,0.83091,12.56874
25.9852,0.83433,12.62413
26.0852,0.83738,12.67323
26.1852,0.84092,12.73299
26.2852,0.84443,12.79084
26.3852,0.8474,12.83927
26.4852,0.85086,12.8977
26.5852,0.85438,12.96282
26.6852,0.85738,13.01652
26.7852,0.8608,13.08112
26.8852,0.86444,13.14883
26.9852,0.86748,13.20204
27.0852,0.87078,13.26721
27.1852,0.87439,13.32782
27.2852,0.87748,13.37458
27.3852,0.88072,13.42812
27.4852,0.88438,13.49043
27.5852,0.88758,13.54149
27.6852,0.89076,13.59044
27.7852,0.89434,13.64872
27.8852,0.8976,13.70476
27.9852,0.90069,13.75319
28.0852,0.90426,13.81064
28.1852,0.90766,13.86256
28.2852,0.91072,13.91169
28.3852,0.91426,13.96995
28.4852,0.9177,14.02388
28.5852,0.92067,14.0665
28.6852,0.92419,14.12412
28.7852,0.92773,14.18119
28.8852,0.93068,14.22375
28.9852,0.93416,14.27993
29.0852,0.93777,14.33682
29.1852,0.94073,14.37804
29.2852,0.94412,14.42958
29.3852,0.94776,14.48362
29.4852,0.95077,14.52799
29.5852,0.95409,14.57783
29.6852,0.95773,14.63064
29.7852,0.96082,14.67479
29.8852,0.96401,14.72434
29.9852,0.96764,14.78479
30.0852,0.97085,14.82748
30.1852,0.97398,14.876
30.2852,0.97757,14.93348
30.3852,0.98091,14.98196
30.4852,0.98402,15.0242
30.5852,0.9876,15.08061
30.6852,0.99101,15.12874
30.7852,0.99404,15.17413
30.8852,0.99754,15.22265
30.9852,1.001,15.281
31.0852,1.00402,15.33127
31.1852,1.00755,15.39526
31.2852,1.01108,15.45635
31.3852,1.01409,15.50834
31.4852,1.01751,15.56466
31.5852,1.02106,15.62103
31.6852,1.02404,15.66799
31.7852,1.02739,15.72588
31.8852,1.03105,15.78497
31.9852,1.03414,15.8326
32.0852,1.03748,15.89066
32.1852,1.04105,15.95231
32.2852,1.04419,16.00194
32.3852,1.04737,16.05163
32.4852,1.05091,16.11118
32.5852,1.05422,16.16404
32.6852,1.05744,16.21309
32.7852,1.06104,16.26736
32.8852,1.06436,16.32081
32.9852,1.06747,16.36444
33.0852,1.07095,16.4177
33.1852,1.07427,16.46954
33.2852,1.07736,16.51489
33.3852,1.08089,16.5711
33.4852,1.08438,16.62436
33.5852,1.08741,16.67098
33.6852,1.0909,16.72658
33.7852,1.09435,16.77726
33.8852,1.0973,16.82008
33.9852,1.10075,16.87587
34.0852,1.10441,16.93559
34.1852,1.10745,16.97938
34.2852,1.11083,17.04042
34.3852,1.11447,17.10958
34.4852,1.11748,17.16283
34.5852,1.12067,17.22131
34.6852,1.12428,17.29026
34.7852,1.12749,17.34693
34.8852,1.13072,17.40479
34.9852,1.13437,17.47395
35.0852,1.13764,17.53738
35.1852,1.14073,17.59207
35.2852,1.14422,17.65698
35.3852,1.14762,17.72131
35.4852,1.15066,17.77424
35.5852,1.15424,17.84398
35.6852,1.15776,17.9077
35.7852,1.16079,17.95758
35.8852,1.16424,18.02265
35.9852,1.16772,18.0873
36.0852,1.17067,18.13362
36.1852,1.17412,18.19483
36.2852,1.17777,18.26892
36.3852,1.18081,18.32118
36.4852,1.18417,18.38356
36.5852,1.18779,18.4475
36.6852,1.19076,18.49432
36.7852,1.19399,18.54983
36.8852,1.19765,18.61644
36.9852,1.20084,18.66666
37.0852,1.20408,18.71683
37.1852,1.20775,18.7816
37.2852,1.21094,18.82773
37.3852,1.21399,18.88063
37.4852,1.21754,18.95003
37.5852,1.22093,19.00556
37.6852,1.22402,19.05611
37.7852,1.22765,19.12674
37.8852,1.2311,19.18731
37.9852,1.23412,19.23702
38.0852,1.23755,19.29695
38.1852,1.24098,19.35984
38.2852,1.24398,19.40863
38.3852,1.2475,19.476
38.4852,1.2511,19.53926
38.5852,1.25413,19.59006
38.6852,1.25758,19.65385
38.7852,1.26107,19.71122
38.8852,1.26404,19.75683
38.9852,1.26735,19.8103
39.0852,1.27102,19.87287
39.1852,1.27417,19.91777
39.2852,1.27751,19.97411
39.3852,1.28114,20.03173
39.4852,1.28421,20.08056
39.5852,1.28734,20.12759
39.6852,1.29088,20.18885
39.7852,1.29418,20.24024
39.8852,1.29734,20.28859
39.9852,1.30095,20.34537
40.0852,1.30435,20.3943
40.1852,1.3074,20.43642
40.2852,1.31084,20.48552
40.3852,1.31424,20.5349
40.4852,1.31733,20.57882
40.5852,1.32085,20.63141
40.6852,1.32442,20.68042
40.7852,1.32744,20.72666
40.8852,1.33091,20.77562
40.9852,1.33442,20.82835
41.0852,1.33737,20.86513
41.1852,1.34077,20.91512
41.2852,1.3444,20.96565
41.3852,1.34746,21.00739
41.4852,1.3508,21.04987
41.5852,1.35442,21.10032
41.6852,1.35748,21.1388
41.7852,1.36067,21.18367
41.8852,1.36429,21.23371
41.9852,1.36757,21.27858
42.0852,1.37071,21.31479
42.1852,1.37432,21.3662
42.2852,1.37766,21.40753
42.3852,1.38073,21.45154
42.4852,1.38423,21.49433
42.5852,1.38767,21.54296
42.6852,1.39071,21.58264
42.7852,1.39423,21.63222
42.8852,1.39775,21.68159
42.9852,1.40072,21.71815
43.0852,1.40415,21.76718
43.1852,1.40769,21.82587
43.2852,1.41068,21.86464
43.3852,1.41411,21.91314
43.4852,1.41776,21.9674
43.5852,1.42081,22.00987
43.6852,1.42412,22.05469
43.7852,1.42775,22.10714
43.8852,1.4308,22.15086
43.9852,1.43402,22.19927
44.0852,1.43772,22.24986
44.1852,1.44092,22.29315
44.2852,1.44409,22.34186
44.3852,1.44769,22.3986
44.4852,1.45094,22.44927
44.5852,1.45397,22.49603
44.6852,1.45753,22.54819
44.7852,1.46097,22.59753
44.8852,1.46406,22.63923
44.9852,1.46756,22.68935
45.0852,1.47103,22.74502
45.1852,1.47403,22.7871
45.2852,1.47752,22.83802
45.3852,1.48103,22.88829
45.4852,1.48407,22.93479
45.5852,1.48751,22.98476
45.6852,1.49107,23.03745
45.7852,1.49408,23.08556
45.8852,1.49747,23.13644
45.9852,1.50105,23.18708
46.0852,1.50407,23.22887
46.1852,1.50744,23.27832
46.2852,1.51104,23.32824
46.3852,1.51417,23.3728
46.4852,1.5174,23.42249
46.5852,1.52102,23.47421
46.6852,1.52421,23.52108
46.7852,1.52732,23.56694
46.8852,1.53093,23.61984
46.9852,1.53427,23.67253
47.0852,1.53735,23.71113
47.1852,1.54092,23.76057
47.2852,1.54434,23.81107
47.3852,1.54737,23.8557
47.4852,1.55086,23.90799
47.5852,1.55436,23.95929
47.6852,1.55737,24.00379
47.7852,1.56084,24.05192
47.8852,1.56441,24.10255
47.9852,1.5674,24.14782
48.0852,1.57082,24.19811
48.1852,1.57437,24.25192
48.2852,1.57738,24.2949
48.3852,1.58074,24.34326
48.4852,1.58438,24.39555
48.5852,1.58748,24.44168
48.6852,1.59077,24.49141
48.7852,1.59439,24.54367
48.8852,1.5975,24.5875
48.9852,1.60067,24.62954
49.0852,1.60431,24.68318
49.1852,1.60762,24.73043
49.2852,1.61075,24.77619
49.3852,1.61433,24.83023
49.4852,1.61769,24.87655
49.5852,1.6207,24.92409
49.6852,1.62416,24.97332
49.7852,1.62767,25.02021
49.8852,1.63068,25.06554
49.9852,1.63419,25.11726
50.0852,1.63777,25.16884
50.1852,1.64078,25.20908
50.2852,1.64415,25.25553
50.3852,1.64768,25.31108
50.4852,1.65071,25.35481
50.5852,1.65408,25.40424
50.6852,1.65774,25.46112
50.7852,1.66086,25.50815
50.8852,1.66417,25.55651
50.9852,1.66778,25.60597
51.0852,1.6708,25.64792
51.1852,1.67399,25.6953
51.2852,1.6776,25.74829
51.3852,1.68088,25.79088
51.4852,1.68409,25.83916
51.5852,1.6877,25.89194
51.6852,1.69099,25.94144
51.7852,1.69403,25.98522
51.8852,1.69751,26.03915
51.9852,1.70093,26.09087
52.0852,1.70402,26.13034
52.1852,1.7076,26.18626
52.2852,1.7111,26.23613
52.3852,1.71413,26.27794
52.4852,1.71754,26.32724
52.5852,1.72098,26.37603
52.6852,1.72399,26.41876
52.7852,1.72745,26.46904
52.8852,1.73107,26.52395
52.9852,1.73413,26.56943
53.0852,1.73754,26.62012
53.1852,1.74108,26.67303
53.2852,1.74405,26.7147
53.3852,1.74735,26.76228
53.4852,1.75098,26.81462
53.5852,1.75416,26.85946
53.6852,1.75744,26.90705
53.7852,1.76109,26.95807
53.8852,1.76424,27.00252
53.9852,1.7673,27.04883
54.0852,1.77089,27.10288
54.1852,1.77425,27.15579
54.2852,1.77741,27.20137
54.3852,1.78101,27.24902
54.4852,1.78445,27.29955
54.5852,1.78739,27.33992
54.6852,1.79083,27.38738
54.7852,1.79432,27.44177
54.8852,1.7973,27.48094
54.9852,1.80083,27.53249
55.0852,1.80447,27.58151
55.1852,1.80747,27.6251
55.2852,1.81087,27.67808
55.3852,1.8144,27.73471
55.4852,1.81736,27.77692
55.5852,1.82073,27.82243
55.6852,1.82443,27.87571
55.7852,1.82754,27.92241
55.8852,1.83085,27.96929
55.9852,1.83445,28.02264
56.0852,1.83749,28.06406
56.1852,1.84063,28.10882
56.2852,1.84427,28.16132
56.3852,1.8476,28.21306
56.4852,1.85074,28.25871
56.5852,1.85435,28.31111
56.6852,1.85768,28.36009
56.7852,1.86068,28.40714
56.8852,1.86418,28.45619
56.9852,1.86766,28.50334
57.0852,1.8707,28.54892
57.1852,1.87423,28.59591
57.2852,1.87779,28.65153
57.3852,1.88079,28.69231
57.4852,1.8842,28.74098
57.5852,1.88772,28.79316
57.6852,1.89076,28.83944
57.7852,1.89413,28.88862
57.8852,1.89772,28.94014
57.9852,1.9008,28.98683
58.0852,1.90411,29.03601
58.1852,1.90766,29.08259
58.2852,1.91078,29.12808
58.3852,1.91402,29.17554
58.4852,1.91758,29.22913
58.5852,1.92087,29.27583
58.6852,1.92401,29.32159
58.7852,1.92759,29.37362
58.8852,1.93093,29.424
58.9852,1.93402,29.46841
59.0852,1.93759,29.52118
59.1852,1.94103,29.57393
