"Filename","mean(exx)","mean(eyy)","mean(exy)"
"BY60M-1_page_0086.out",-0.00958994,0.0292981,-0.00011361
"BY60M-1_page_0087.out",-0.00975002,0.0297804,-0.000119758
"BY60M-1_page_0088.out",-0.00990404,0.0302366,-0.000122527
"BY60M-1_page_0089.out",-0.0100704,0.0307172,-0.000123266
"BY60M-1_page_0090.out",-0.0102246,0.0311793,-0.00012142
"BY60M-1_page_0091.out",-0.0103741,0.0316515,-0.000129207
"BY60M-1_page_0092.out",-0.0105322,0.032123,-0.00012702
"BY60M-1_page_0093.out",-0.0106869,0.0326098,-0.000131904
"BY60M-1_page_0094.out",-0.0108489,0.0330934,-0.000136201
"BY60M-1_page_0095.out",-0.0110102,0.0335886,-0.000136555
"BY60M-1_page_0096.out",-0.0111837,0.0340975,-0.000128001
"BY60M-1_page_0097.out",-0.0113436,0.0345933,-0.000132594
"BY60M-1_page_0098.out",-0.0115258,0.0351231,-0.00013271
"BY60M-1_page_0099.out",-0.011681,0.035653,-0.000121925
"BY60M-1_page_0100.out",-0.0118631,0.0361794,-0.000118654
"BY60M-1_page_0101.out",-0.0120318,0.036714,-0.000127614
"BY60M-1_page_0102.out",-0.0122167,0.0372484,-0.000125659
"BY60M-1_page_0103.out",-0.012397,0.0378004,-0.00012434
"BY60M-1_page_0104.out",-0.0125829,0.0383335,-0.000119803
"BY60M-1_page_0105.out",-0.0127582,0.0388937,-0.000131684
"BY60M-1_page_0106.out",-0.0129487,0.0394392,-0.000123232
"BY60M-1_page_0107.out",-0.0131315,0.0399949,-0.00011871
"BY60M-1_page_0108.out",-0.0133043,0.0405462,-0.000131265
"BY60M-1_page_0109.out",-0.0135047,0.0411037,-0.000132235
"BY60M-1_page_0110.out",-0.0136882,0.0416703,-0.00012243
"BY60M-1_page_0111.out",-0.0138793,0.042275,-0.000125108
"BY60M-1_page_0112.out",-0.0140584,0.0428622,-0.000126953
"BY60M-1_page_0113.out",-0.0142637,0.0434383,-0.000133045
"BY60M-1_page_0114.out",-0.0144637,0.0440172,-0.000128287
"BY60M-1_page_0115.out",-0.0146575,0.0446049,-0.00013257
"BY60M-1_page_0116.out",-0.0148576,0.0452043,-0.000127227
"BY60M-1_page_0117.out",-0.0150646,0.0458041,-0.000127158
"BY60M-1_page_0118.out",-0.0152523,0.0464116,-0.000130295
"BY60M-1_page_0119.out",-0.0154664,0.047023,-0.000134617
"BY60M-1_page_0120.out",-0.0156697,0.0476508,-0.000135501
"BY60M-1_page_0121.out",-0.0158781,0.0482655,-0.000134906
"BY60M-1_page_0122.out",-0.0160874,0.0488986,-0.000124774
"BY60M-1_page_0123.out",-0.0163168,0.0495609,-0.000129908
"BY60M-1_page_0124.out",-0.0165352,0.0502054,-0.000137445
"BY60M-1_page_0125.out",-0.0167566,0.0508722,-0.000124841
"BY60M-1_page_0126.out",-0.0169708,0.0515199,-0.000138026
"BY60M-1_page_0127.out",-0.0172092,0.0521903,-0.000129457
"BY60M-1_page_0128.out",-0.0174372,0.0528561,-0.000142355
"BY60M-1_page_0129.out",-0.0176774,0.0535376,-0.00013767
"BY60M-1_page_0130.out",-0.0179103,0.0542413,-0.000134248
"BY60M-1_page_0131.out",-0.0181634,0.0549328,-0.000131432
"BY60M-1_page_0132.out",-0.0184083,0.0556257,-0.000133346
"BY60M-1_page_0133.out",-0.0186482,0.0563378,-0.000129571
"BY60M-1_page_0134.out",-0.0189197,0.0571096,-0.000142055
"BY60M-1_page_0135.out",-0.0191979,0.0578937,-0.000132697
"BY60M-1_page_0136.out",-0.0194865,0.0587212,-0.000138368
"BY60M-1_page_0137.out",-0.0197612,0.0595155,-0.000139144
"BY60M-1_page_0138.out",-0.0200312,0.0603077,-0.000132441
"BY60M-1_page_0139.out",-0.0203161,0.0610928,-0.000129548
"BY60M-1_page_0140.out",-0.0205914,0.0618724,-0.000124373
"BY60M-1_page_0141.out",-0.0208787,0.0626496,-0.000121552
"BY60M-1_page_0142.out",-0.0211657,0.0634328,-0.000118104
"BY60M-1_page_0143.out",-0.0214467,0.0642172,-0.000110809
"BY60M-1_page_0144.out",-0.0217155,0.0650033,-0.000107653
"BY60M-1_page_0145.out",-0.0220127,0.0658692,-0.000100043
"BY60M-1_page_0146.out",-0.0223214,0.0667368,-8.73334e-05
"BY60M-1_page_0147.out",-0.0226295,0.0676156,-8.46961e-05
