"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60M-6_page_0056.out",-0.00481796,0.000584361,0.0161323,0.00124424,-0.000228253,0.000323491
"BY60M-6_page_0057.out",-0.00494613,0.000583254,0.0165866,0.00129244,-0.000225008,0.00032514
"BY60M-6_page_0058.out",-0.00508611,0.000611519,0.0170337,0.00133153,-0.000239879,0.000332201
"BY60M-6_page_0059.out",-0.00520991,0.0006211,0.0174931,0.00138224,-0.000238793,0.000350101
"BY60M-6_page_0060.out",-0.00534607,0.000631254,0.0179607,0.00141559,-0.000249057,0.00036955
"BY60M-6_page_0061.out",-0.00548957,0.000614752,0.0184239,0.00145116,-0.000253577,0.00036462
"BY60M-6_page_0062.out",-0.00562988,0.000619294,0.0189002,0.00151332,-0.000265919,0.000365382
"BY60M-6_page_0063.out",-0.00577977,0.000635978,0.0193791,0.00155716,-0.000264876,0.000393913
"BY60M-6_page_0064.out",-0.0059291,0.000661566,0.0198573,0.00161921,-0.000279081,0.000384661
"BY60M-6_page_0065.out",-0.00607015,0.000663175,0.0203335,0.00167769,-0.000285558,0.000395389
"BY60M-6_page_0066.out",-0.0062208,0.00066243,0.020821,0.00173125,-0.00029549,0.000403178
"BY60M-6_page_0067.out",-0.00636655,0.000694085,0.0213079,0.00179835,-0.000315732,0.000394045
"BY60M-6_page_0068.out",-0.00651679,0.000694354,0.0217828,0.00185632,-0.000312943,0.000413177
"BY60M-6_page_0069.out",-0.00666847,0.000713942,0.0222866,0.00193244,-0.00031921,0.000436141
"BY60M-6_page_0070.out",-0.00682355,0.000761678,0.0227789,0.00199671,-0.000334514,0.000444193
"BY60M-6_page_0071.out",-0.00697503,0.000770406,0.0232629,0.00207384,-0.000341921,0.000439603
"BY60M-6_page_0072.out",-0.00713021,0.000787299,0.0237682,0.00215741,-0.000354064,0.000452007
"BY60M-6_page_0073.out",-0.00727681,0.00079082,0.0242549,0.00222157,-0.000360773,0.00045973
"BY60M-6_page_0074.out",-0.00744065,0.000812504,0.0247595,0.00231409,-0.000368281,0.000479893
"BY60M-6_page_0075.out",-0.0075886,0.000848822,0.0252632,0.00241505,-0.000380243,0.000487863
"BY60M-6_page_0076.out",-0.00774975,0.000854637,0.0257461,0.00249286,-0.000386246,0.000485376
"BY60M-6_page_0077.out",-0.00789957,0.000882446,0.026259,0.00257797,-0.000387753,0.000489924
"BY60M-6_page_0078.out",-0.00806971,0.000908344,0.026763,0.00267862,-0.00040538,0.000513047
"BY60M-6_page_0079.out",-0.00823569,0.000949674,0.0272757,0.00280014,-0.000407198,0.000523117
"BY60M-6_page_0080.out",-0.00837608,0.000976788,0.0277787,0.00291632,-0.000424483,0.000530819
"BY60M-6_page_0081.out",-0.00853418,0.00101144,0.028306,0.00300238,-0.00042441,0.000529847
"BY60M-6_page_0082.out",-0.00869173,0.00103224,0.0288362,0.00311856,-0.000435747,0.000539799
"BY60M-6_page_0083.out",-0.00886195,0.00107167,0.0293499,0.0032557,-0.000447658,0.000554086
"BY60M-6_page_0084.out",-0.00903435,0.00111549,0.0298763,0.00338816,-0.000462309,0.000566438
"BY60M-6_page_0085.out",-0.00918687,0.00114909,0.0304016,0.00352746,-0.000472633,0.000578451
"BY60M-6_page_0086.out",-0.00934742,0.00117029,0.0309276,0.00366986,-0.000469937,0.000580037
"BY60M-6_page_0087.out",-0.00951869,0.00123216,0.0314653,0.00382689,-0.000490191,0.000573021
"BY60M-6_page_0088.out",-0.0097057,0.00126348,0.0320047,0.00399511,-0.000505859,0.000597113
"BY60M-6_page_0089.out",-0.00986481,0.00131677,0.0325307,0.00416177,-0.000506963,0.000605192
"BY60M-6_page_0090.out",-0.0100131,0.00134162,0.0330749,0.00434483,-0.000524199,0.000608114
"BY60M-6_page_0091.out",-0.0101798,0.00140505,0.0336053,0.00452112,-0.000536522,0.000620199
"BY60M-6_page_0092.out",-0.0103435,0.00143673,0.034155,0.00471146,-0.000540392,0.000627864
"BY60M-6_page_0093.out",-0.0105172,0.0015062,0.0347048,0.00490152,-0.000550908,0.000624441
"BY60M-6_page_0094.out",-0.010673,0.00154385,0.0352268,0.00510863,-0.000572596,0.000638213
"BY60M-6_page_0095.out",-0.0108478,0.00160486,0.0357989,0.00533402,-0.000575564,0.000667103
"BY60M-6_page_0096.out",-0.0110151,0.0016626,0.0363391,0.00553995,-0.000581165,0.000655942
"BY60M-6_page_0097.out",-0.0111883,0.00171863,0.036891,0.00578209,-0.000600493,0.000658624
