Filename,mean(exx),mean(eyy),mean(exy)
BY60M-2_page_0001.out,-5.13E-17,-4.86E-17,-3.22E-19
BY60M-2_page_0002.out,-8.95E-06,8.06E-07,-7.59E-06
BY60M-2_page_0003.out,-3.97E-06,3.68E-06,-2.92E-06
BY60M-2_page_0004.out,9.56E-07,-2.08E-06,-7.08E-06
BY60M-2_page_0005.out,-1.58E-06,-6.92E-06,-1.62E-06
BY60M-2_page_0006.out,1.91E-07,-2.47E-06,-3.44E-07
BY60M-2_page_0007.out,-1.24E-05,-5.81E-06,-5.39E-06
BY60M-2_page_0008.out,-1.93E-05,2.97E-05,-2.70E-06
BY60M-2_page_0009.out,-0.000117377,0.00036446,1.13E-05
BY60M-2_page_0010.out,-0.000208708,0.000650062,4.27E-06
BY60M-2_page_0011.out,-0.000306644,0.000937731,1.71E-07
BY60M-2_page_0012.out,-0.000403292,0.00124006,1.18E-05
BY60M-2_page_0013.out,-0.000503084,0.00154243,1.56E-05
BY60M-2_page_0014.out,-0.00060263,0.00182784,4.64E-06
BY60M-2_page_0015.out,-0.000714096,0.0021413,2.85E-06
BY60M-2_page_0016.out,-0.000800886,0.0024562,8.73E-06
BY60M-2_page_0017.out,-0.000936523,0.0027535,3.27E-06
BY60M-2_page_0018.out,-0.00103114,0.00308069,2.32E-06
BY60M-2_page_0019.out,-0.00112221,0.00339898,9.58E-06
BY60M-2_page_0020.out,-0.00123826,0.00372321,-3.42E-06
BY60M-2_page_0021.out,-0.00135467,0.00405401,-9.03E-06
BY60M-2_page_0022.out,-0.00144304,0.00438694,-1.31E-06
BY60M-2_page_0023.out,-0.0015721,0.00474194,5.66E-06
BY60M-2_page_0024.out,-0.00168129,0.00508421,-1.32E-05
BY60M-2_page_0025.out,-0.0017867,0.00544017,-7.05E-06
BY60M-2_page_0026.out,-0.00191059,0.00581111,-4.54E-06
BY60M-2_page_0027.out,-0.00202655,0.00617873,-1.90E-05
BY60M-2_page_0028.out,-0.00214281,0.00654886,-1.84E-05
BY60M-2_page_0029.out,-0.00226789,0.00692922,-1.21E-05
BY60M-2_page_0030.out,-0.00238964,0.00730637,-1.49E-05
BY60M-2_page_0031.out,-0.00250437,0.00771108,-2.14E-05
BY60M-2_page_0032.out,-0.00263183,0.00810587,-2.10E-05
BY60M-2_page_0033.out,-0.00276479,0.0085116,-2.60E-05
BY60M-2_page_0034.out,-0.0029047,0.00891999,-2.41E-05
BY60M-2_page_0035.out,-0.00302852,0.00933805,-1.98E-05
BY60M-2_page_0036.out,-0.003157,0.00974627,-3.27E-05
BY60M-2_page_0037.out,-0.00328169,0.010144,-2.70E-05
BY60M-2_page_0038.out,-0.00341434,0.0105699,-3.60E-05
BY60M-2_page_0039.out,-0.0035431,0.0109715,-4.20E-05
BY60M-2_page_0040.out,-0.00367962,0.0113866,-3.14E-05
BY60M-2_page_0041.out,-0.00382494,0.0118172,-3.25E-05
BY60M-2_page_0042.out,-0.00395019,0.0122253,-4.20E-05
